parent,child,Count,Growth_Rate,Type
,Terrell,641,0.6039178292007865,Overall
Terrell,HiTech,36,0.9609219519085237,Sector
Terrell,Agriculture,39,0.7565620422751328,Sector
Terrell,Transportation,61,0.9454891985559039,Sector
Terrell,Consumer_Products,90,0.2699196422258374,Sector
Terrell,Unassigned,16,0.6355481662926549,Sector
Terrell,Communication,34,0.48888049277783974,Sector
Terrell,Trade,0,0.6858005435940336,Sector
Terrell,Business_Services,27,0.7973188839406298,Sector
Terrell,Business_Products,40,0.3202568402734346,Sector
Terrell,Construction,48,0.5875897339610173,Sector
Terrell,Services,72,0.7461166892627611,Sector
Terrell,Mining,16,0.5974412166623929,Sector
Terrell,Health_Care,75,0.7323931037383833,Sector
Terrell,EnergyExpL_Prod,63,0.455088190929142,Sector
Terrell,Utilities,24,0.07944074161410819,Sector
