Country,NUTS2_ID,NUTS_NAME,NUTS1_ID,Growth_Rate
ALB,AL01,Veri,AL0,0.35994268053522793
ALB,AL02,Qender,AL0,0.23660365718287557
ALB,AL03,Jug,AL0,0.6082027861953757
AUT,AT11,Burgenland,AT1,0.9445508818792407
AUT,AT12,Niederösterreich,AT1,0.5811301450023937
AUT,AT13,Wien,AT1,0.611326344815487
AUT,AT21,Kärnten,AT2,0.4735674976156301
AUT,AT22,Steiermark,AT2,0.19899184140784631
AUT,AT31,Oberösterreich,AT3,0.5323251445034227
AUT,AT32,Salzburg,AT3,0.11116143868867545
AUT,AT33,Tirol,AT3,0.9638373036677147
AUT,AT34,Vorarlberg,AT3,0.35811165528226396
BEL,BE22,Prov. Limburg (BE),BE2,0.21561342958471075
BEL,BE23,Prov. Oost-Vlaanderen,BE2,0.6916569219703462
BEL,BE34,Prov. Luxembourg (BE),BE3,0.792429268590736
BEL,BE35,Prov. Namur,BE3,0.25961632695832837
BEL,BE24,Prov. Vlaams-Brabant,BE2,0.6644196584043648
BEL,BE25,Prov. West-Vlaanderen,BE2,0.9061727430412191
BEL,BE31,Prov. Brabant wallon,BE3,0.572375311712026
BEL,BE32,Prov. Hainaut,BE3,0.42366445860326485
BEL,BE33,Prov. Liège,BE3,0.5309193471617515
BEL,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE1,0.7654606937664796
BEL,BE21,Prov. Antwerpen,BE2,0.3502266363346822
BGR,BG31,Severozapaden,BG3,0.7473177181419096
BGR,BG32,Severen tsentralen,BG3,0.8817108801323101
BGR,BG33,Severoiztochen,BG3,0.04790583603320464
BGR,BG34,Yugoiztochen,BG3,0.3390218229102723
BGR,BG41,Yugozapaden,BG4,0.5459775800280683
BGR,BG42,Yuzhen tsentralen,BG4,0.8274770998766945
CHE,CH07,Ticino,CH0,0.8979955485743274
CHE,CH01,Région lémanique,CH0,0.4065775514746125
CHE,CH02,Espace Mittelland,CH0,0.8768286465475443
CHE,CH03,Nordwestschweiz,CH0,0.35017198327651844
CHE,CH04,Zürich,CH0,0.16981181879326024
CHE,CH05,Ostschweiz,CH0,0.3738443253004359
CHE,CH06,Zentralschweiz,CH0,0.9383350656367748
CYP,CY00,Kýpros,CY0,0.6174531944816846
CZE,CZ02,Střední Čechy,CZ0,0.812494473434497
CZE,CZ03,Jihozápad,CZ0,0.0518403297319977
CZE,CZ04,Severozápad,CZ0,0.43086220150708743
CZE,CZ05,Severovýchod,CZ0,0.5813407992698136
CZE,CZ06,Jihovýchod,CZ0,0.8840379320451853
CZE,CZ07,Střední Morava,CZ0,0.43933313149691533
CZE,CZ08,Moravskoslezsko,CZ0,0.745360821453254
CZE,CZ01,Praha,CZ0,0.10224843037033327
DEU,DEB1,Koblenz,DEB,0.46356017061857346
DEU,DEB2,Trier,DEB,0.7758665867394678
DEU,DE13,Freiburg,DE1,0.3550111845605729
DEU,DE72,Gießen,DE7,0.7819710636185022
DEU,DEB3,Rheinhessen-Pfalz,DEB,0.06022697631113627
DEU,DE14,Tübingen,DE1,0.7248508725395618
DEU,DE73,Kassel,DE7,0.5514169861745197
DEU,DEC0,Saarland,DEC,0.7543124683028202
DEU,DE21,Oberbayern,DE2,0.16801070911615867
DEU,DEG0,Thüringen,DEG,0.042232398893331746
DEU,DE22,Niederbayern,DE2,0.6600825826937571
DEU,DE80,Mecklenburg-Vorpommern,DE8,0.8936772655672645
DEU,DE23,Oberpfalz,DE2,0.05311400588738613
DEU,DE91,Braunschweig,DE9,0.6471397777860057
DEU,DE24,Oberfranken,DE2,0.7242504123458385
DEU,DE92,Hannover,DE9,0.8862270438828144
DEU,DED2,Dresden,DED,0.654481812119845
DEU,DE25,Mittelfranken,DE2,0.8902999570420479
DEU,DE93,Lüneburg,DE9,0.06266072712482729
DEU,DED4,Chemnitz,DED,0.06700531424860323
DEU,DE26,Unterfranken,DE2,0.43129750650866316
DEU,DE94,Weser-Ems,DE9,0.5845429677804135
DEU,DED5,Leipzig,DED,0.185223497680698
DEU,DEA1,Düsseldorf,DEA,0.138854508370148
DEU,DE27,Schwaben,DE2,0.5905329647106728
DEU,DE30,Berlin,DE3,0.24168311490399652
DEU,DEA2,Köln,DEA,0.8778665326252647
DEU,DEE0,Sachsen-Anhalt,DEE,0.8658675608025933
DEU,DEA3,Münster,DEA,0.04003058010619531
DEU,DE40,Brandenburg,DE4,0.6835050664104985
DEU,DE50,Bremen,DE5,0.6401454983585495
DEU,DEA4,Detmold,DEA,0.986126321175134
DEU,DEF0,Schleswig-Holstein,DEF,0.18390985146096028
DEU,DE11,Stuttgart,DE1,0.5528593072388025
DEU,DE60,Hamburg,DE6,0.2273386137626019
DEU,DEA5,Arnsberg,DEA,0.19766480073492154
DEU,DE71,Darmstadt,DE7,0.10048583777246933
DEU,DE12,Karlsruhe,DE1,0.9793831002022758
DNK,DK01,Hovedstaden,DK0,0.8455960993648034
DNK,DK02,Sjælland,DK0,0.7826289148492822
DNK,DK03,Syddanmark,DK0,0.8290783308204963
DNK,DK04,Midtjylland,DK0,0.16535490810832154
DNK,DK05,Nordjylland,DK0,0.9993428287121143
ESP,ES22,Comunidad Foral de Navarra,ES2,0.8156304438329578
ESP,ES30,Comunidad de Madrid,ES3,0.22011403704510657
ESP,ES53,Illes Balears,ES5,0.3617290396284196
ESP,ES41,Castilla y León,ES4,0.5032330735690841
ESP,ES61,Andalucía,ES6,0.14208598533928984
ESP,ES62,Región de Murcia,ES6,0.6164790553377687
ESP,ES63,Ciudad de Ceuta,ES6,0.5172347387960656
ESP,ES64,Ciudad de Melilla,ES6,0.30785854951604275
ESP,ES42,Castilla-La Mancha,ES4,0.6003614841515427
ESP,ES43,Extremadura,ES4,0.9826150255798252
ESP,ES51,Cataluña,ES5,0.3359145356017723
ESP,ES52,Comunitat Valenciana ,ES5,0.7372663038376538
ESP,ES11,Galicia,ES1,0.4115070248496968
ESP,ES23,La Rioja,ES2,0.7680011499181287
ESP,ES12,Principado de Asturias,ES1,0.9021585765363922
ESP,ES13,Cantabria,ES1,0.5411169990963371
ESP,ES24,Aragón,ES2,0.7516679491682298
ESP,ES21,País Vasco,ES2,0.35040528041863095
EST,EE00,Eesti,EE0,0.44662348782142347
FIN,FI19,Länsi-Suomi,FI1,0.08693569451414007
FIN,FI1B,Helsinki-Uusimaa,FI1,0.5580446051605925
FIN,FI1C,Etelä-Suomi,FI1,0.6714783842377943
FIN,FI1D,Pohjois- ja Itä-Suomi,FI1,0.18705170938225701
FIN,FI20,Åland,FI2,0.053258546877251955
FRA,FRI1,Aquitaine,FRI,0.28551933706580324
FRA,FRE2,Picardie,FRE,0.06092053231517025
FRA,FR10,Ile-de-France,FR1,0.7941367665937419
FRA,FRJ2,Midi-Pyrénées,FRJ,0.00034092474300084774
FRA,FRF1,Alsace,FRF,0.16716448604084289
FRA,FRB0,Centre — Val de Loire,FRB,0.07680973509562916
FRA,FRK1,Auvergne,FRK,0.2603938588508621
FRA,FRF2,Champagne-Ardenne,FRF,0.482848101319884
FRA,FRI2,Limousin,FRI,0.7229932278382115
FRA,FRC1,Bourgogne,FRC,0.09337834213796659
FRA,FRF3,Lorraine,FRF,0.2044273815167562
FRA,FRI3,Poitou-Charentes,FRI,0.23531971950453567
FRA,FRC2,Franche-Comté,FRC,0.6647924068973009
FRA,FRG0,Pays de la Loire,FRG,0.5176233297138485
FRA,FRJ1,Languedoc-Roussillon,FRJ,0.710875553604694
FRA,FRD1,Basse-Normandie ,FRD,0.13815797774063798
FRA,FRD2,Haute-Normandie ,FRD,0.7696043239633491
FRA,FRE1,Nord-Pas de Calais,FRE,0.2752949973917612
FRA,FRH0,Bretagne,FRH,0.7043080786693785
FRA,FRK2,Rhône-Alpes,FRK,0.5726361805008808
FRA,FRL0,Provence-Alpes-Côte d’Azur,FRL,0.15138420459704505
FRA,FRM0,Corse,FRM,0.07286639599152522
HRV,HR02,Panonska Hrvatska,HR0,0.8933137683605301
HRV,HR03,Jadranska Hrvatska,HR0,0.6010232990330673
HRV,HR05,Grad Zagreb,HR0,0.08439052424067417
HRV,HR06,Sjeverna Hrvatska,HR0,0.5198727953571053
HUN,HU22,Nyugat-Dunántúl,HU2,0.22222597948868805
HUN,HU23,Dél-Dunántúl,HU2,0.25839590899587817
HUN,HU32,Észak-Alföld,HU3,0.6222155448189285
HUN,HU33,Dél-Alföld,HU3,0.10918267448436936
HUN,HU11,Budapest,HU1,0.2527760931433197
HUN,HU12,Pest,HU1,0.37263868288025426
HUN,HU31,Észak-Magyarország,HU3,0.5363948861627379
HUN,HU21,Közép-Dunántúl,HU2,0.5008282193774473
IRL,IE04,Northern and Western,IE0,0.06980433299681132
IRL,IE05,Southern,IE0,0.13057475114853478
IRL,IE06,Eastern and Midland,IE0,0.13297012284057375
ISL,IS00,Ísland,IS0,0.6138237106798767
ITA,ITI3,Marche,ITI,0.12987545703910042
ITA,ITI4,Lazio,ITI,0.39168423264309293
ITA,ITI1,Toscana,ITI,0.9912535026478769
ITA,ITI2,Umbria,ITI,0.7018337026732485
ITA,ITF6,Calabria,ITF,0.7849720891389821
ITA,ITG1,Sicilia,ITG,0.2672804143378753
ITA,ITH3,Veneto,ITH,0.07981878048632329
ITA,ITH4,Friuli-Venezia Giulia,ITH,0.7656012105809209
ITA,ITH5,Emilia-Romagna,ITH,0.7067278429511137
ITA,ITC1,Piemonte,ITC,0.5929787385527991
ITA,ITC2,Valle d’Aosta/Vallée d’Aoste,ITC,0.2974945822516858
ITA,ITC3,Liguria,ITC,0.7751375487136866
ITA,ITG2,Sardegna,ITG,0.6513558946580923
ITA,ITH1,Provincia Autonoma di Bolzano/Bozen,ITH,0.6201371842550911
ITA,ITH2,Provincia Autonoma di Trento,ITH,0.4233130416259888
ITA,ITC4,Lombardia,ITC,0.22401172636529476
ITA,ITF1,Abruzzo,ITF,0.6687481307854495
ITA,ITF2,Molise,ITF,0.2755279882940651
ITA,ITF3,Campania,ITF,0.11810311079343405
ITA,ITF4,Puglia,ITF,0.5483586707985403
ITA,ITF5,Basilicata,ITF,0.6847692625173252
LIE,LI00,Liechtenstein,LI0,0.17960569308096874
LTU,LT01,Sostinės regionas,LT0,0.595131272736033
LTU,LT02,Vidurio ir vakarų Lietuvos regionas ,LT0,0.22103681290312582
LUX,LU00,Luxembourg,LU0,0.7706021041554266
LVA,LV00,Latvija,LV0,0.3298570104089884
MKD,MK00,Severna Makedonija ,MK0,0.8502963272725167
MLT,MT00,Malta,MT0,0.9906023261182629
MNE,ME00,Crna Gora,ME0,0.4079582337669685
NLD,NL41,Noord-Brabant,NL4,0.6000771610366546
NLD,NL42,Limburg (NL),NL4,0.8239709566214962
NLD,NL11,Groningen,NL1,0.8035602343639136
NLD,NL12,Friesland (NL),NL1,0.5675717003085363
NLD,NL13,Drenthe,NL1,0.7899255161963283
NLD,NL21,Overijssel,NL2,0.36474319834709246
NLD,NL22,Gelderland,NL2,0.4579888596548477
NLD,NL23,Flevoland,NL2,0.0869188325210325
NLD,NL32,Noord-Holland,NL3,0.5023093223390033
NLD,NL34,Zeeland,NL3,0.5928332836270369
NLD,NL35,Utrecht,NL3,0.38862229165318385
NLD,NL36,Zuid-Holland,NL3,0.3424685097849015
NOR,NO02,Innlandet,NO0,0.6984853495220441
NOR,NO08,Oslo og Viken,NO0,0.162154392862215
NOR,NO06,Trøndelag/Trööndelage,NO0,0.29089170618922744
NOR,NO07,Nord-Norge,NO0,0.6106661268554872
NOR,NO0A,Vestlandet,NO0,0.8582238529643731
NOR,NO0B,Svalbard og Jan Mayen,NO0,0.5589629037887925
NOR,NO09,Agder og Sør-Østlandet,NO0,0.30110226186066225
POL,PL61,Kujawsko-pomorskie,PL6,0.1684106354545557
POL,PL62,Warmińsko-mazurskie,PL6,0.7973766055214727
POL,PL22,Śląskie,PL2,0.6913157165453375
POL,PL63,Pomorskie,PL6,0.9946051878385298
POL,PL21,Małopolskie,PL2,0.9963211469600579
POL,PL71,Łódzkie,PL7,0.8547113085649799
POL,PL72,Świętokrzyskie,PL7,0.4277065635254932
