State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.8979912581205051
AK,2,Alaska,0.8524642296847164
AZ,4,Arizona,0.16977466474672698
AR,5,Arkansas,0.44124668511381515
CA,6,California,0.19648266713254814
CO,8,Colorado,0.34348273989522005
CT,9,Connecticut,0.25706887189943894
DE,10,Delaware,0.13107920293679554
DC,11,District of Columbia,0.585406717947847
FL,12,Florida,0.16200234379177236
GA,13,Georgia,0.2876351930213772
HI,15,Hawaii,0.4883581758678689
ID,16,Idaho,0.3801029972228892
IL,17,Illinois,0.5070599755659572
IN,18,Indiana,0.05327731906631361
IA,19,Iowa,0.3488958772658127
KS,20,Kansas,0.8462425921946672
KY,21,Kentucky,0.002339286175250921
LA,22,Louisiana,0.3551721131252559
ME,23,Maine,0.3811268436570029
MD,24,Maryland,0.9671884500321075
MA,25,Massachusetts,0.4848088492997683
MI,26,Michigan,0.036492462181363705
MN,27,Minnesota,0.630514488421023
MS,28,Mississippi,0.20736444187231085
MO,29,Missouri,0.9702863772224672
MT,30,Montana,0.3365635433054146
NE,31,Nebraska,0.38111547613056485
NV,32,Nevada,0.2760910892881716
NH,33,New Hampshire,0.7435791856951813
NJ,34,New Jersey,0.22787079306424263
NM,35,New Mexico,0.20510437911811197
NY,36,New York,0.02065820206472313
NC,37,North Carolina,0.617870130215559
ND,38,North Dakota,0.2939594832917045
OH,39,Ohio,0.49938735487567865
OK,40,Oklahoma,0.5552935659675156
OR,41,Oregon,0.8957811265068554
PA,42,Pennsylvania,0.8154662028526841
RI,44,Rhode Island,0.8731046670525185
SC,45,South Carolina,0.20968965153051067
SD,46,South Dakota,0.8420449081894056
TN,47,Tennessee,0.5344767842149889
TX,48,Texas,0.8534969769590119
UT,49,Utah,0.462221289121567
VT,50,Vermont,0.3727662847754696
VA,51,Virginia,0.09008266286311228
WA,53,Washington,0.4531369086274498
WV,54,West Virginia,0.17409846866488954
WI,55,Wisconsin,0.07572195535413451
WY,56,Wyoming,0.7047871912619343
PR,72,Puerto Rico,0.5505638306576517
