State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.729880501441292
AK,2,Alaska,0.38492317207225
AZ,4,Arizona,0.6881655024494432
AR,5,Arkansas,0.6431410040268076
CA,6,California,0.17035059127493324
CO,8,Colorado,0.16862148993377102
CT,9,Connecticut,0.5923777943815393
DE,10,Delaware,0.322807625562881
DC,11,District of Columbia,0.2123211825503759
FL,12,Florida,0.13224897415086823
GA,13,Georgia,0.6184739771683574
HI,15,Hawaii,0.05658017604254928
ID,16,Idaho,0.7800611044595065
IL,17,Illinois,0.2538706405372063
IN,18,Indiana,0.6927860344767591
IA,19,Iowa,0.5616440625792718
KS,20,Kansas,0.15599158034725735
KY,21,Kentucky,0.2657859944201698
LA,22,Louisiana,0.7468258948313142
ME,23,Maine,0.5444009255696621
MD,24,Maryland,0.695299799400373
MA,25,Massachusetts,0.6642214365037333
MI,26,Michigan,0.9927460523595174
MN,27,Minnesota,0.4696428329364516
MS,28,Mississippi,0.8901378160462826
MO,29,Missouri,0.6421236356847938
MT,30,Montana,0.33908239647289173
NE,31,Nebraska,0.5738406985867968
NV,32,Nevada,0.5764119560400021
NH,33,New Hampshire,0.538180792765851
NJ,34,New Jersey,0.1788787525133222
NM,35,New Mexico,0.3794393766485634
NY,36,New York,0.9604713747005823
NC,37,North Carolina,0.4237831436944196
ND,38,North Dakota,0.6348390431782411
OH,39,Ohio,0.11687430759070994
OK,40,Oklahoma,0.7455282279892511
OR,41,Oregon,0.6523172146555458
PA,42,Pennsylvania,0.6829237732958949
RI,44,Rhode Island,0.15053037244920175
SC,45,South Carolina,0.17687243516325235
SD,46,South Dakota,0.042296879372143215
TN,47,Tennessee,0.1701432228248364
TX,48,Texas,0.8820190318010415
UT,49,Utah,0.3171659424419656
VT,50,Vermont,0.47548349102110254
VA,51,Virginia,0.6157799298291375
WA,53,Washington,0.4297345656360718
WV,54,West Virginia,0.384755041902595
WI,55,Wisconsin,0.4346035497491837
WY,56,Wyoming,0.292171016052163
PR,72,Puerto Rico,0.364739800008129
