State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.904495704241058
AK,2,Alaska,0.13811095582798283
AZ,4,Arizona,0.9513608567041004
AR,5,Arkansas,0.410848452616028
CA,6,California,0.028870419263997693
CO,8,Colorado,0.620880656777501
CT,9,Connecticut,0.0010638264663703767
DE,10,Delaware,0.6774028474642976
DC,11,District of Columbia,0.5853761158032654
FL,12,Florida,0.5814331723562612
GA,13,Georgia,0.5157890659861624
HI,15,Hawaii,0.0649436021967561
ID,16,Idaho,0.45712003592609163
IL,17,Illinois,0.7231800861736438
IN,18,Indiana,0.6218746461965247
IA,19,Iowa,0.757059612617932
KS,20,Kansas,0.05643696619257821
KY,21,Kentucky,0.7636336875166204
LA,22,Louisiana,0.15384479478879032
ME,23,Maine,0.9309743663296759
MD,24,Maryland,0.4237434416854907
MA,25,Massachusetts,0.9291069149369767
MI,26,Michigan,0.6911503409757983
MN,27,Minnesota,0.9214592452963364
MS,28,Mississippi,0.5020908734725799
MO,29,Missouri,0.28078111690141794
MT,30,Montana,0.6915062130917937
NE,31,Nebraska,0.4636461874758955
NV,32,Nevada,0.9934686241702436
NH,33,New Hampshire,0.9456264790467099
NJ,34,New Jersey,0.5280508830056586
NM,35,New Mexico,0.2727174653356652
NY,36,New York,0.4336830513529887
NC,37,North Carolina,0.9773499772630231
ND,38,North Dakota,0.92242274186616
OH,39,Ohio,0.0059158091062527784
OK,40,Oklahoma,0.27429066788647194
OR,41,Oregon,0.058883459870135324
PA,42,Pennsylvania,0.6546924121109238
RI,44,Rhode Island,0.2547100949246136
SC,45,South Carolina,0.5985446533745937
SD,46,South Dakota,0.6746549520553802
TN,47,Tennessee,0.8527022619826665
TX,48,Texas,0.7068604482723401
UT,49,Utah,0.9656919339377285
VT,50,Vermont,0.951794978228494
VA,51,Virginia,0.7163496406743841
WA,53,Washington,0.631245828316118
WV,54,West Virginia,0.9948858191615031
WI,55,Wisconsin,0.814628450586381
WY,56,Wyoming,0.7442524246752138
PR,72,Puerto Rico,0.4684254492829213
