State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.22045513657187865
AK,2,Alaska,0.8008941323349881
AZ,4,Arizona,0.22629817779553152
AR,5,Arkansas,0.24318904283120102
CA,6,California,0.4069552143592021
CO,8,Colorado,0.9130939132822065
CT,9,Connecticut,0.3388980878667096
DE,10,Delaware,0.8175555272031285
DC,11,District of Columbia,0.09693936046857698
FL,12,Florida,0.12016984928385988
GA,13,Georgia,0.38054098835160954
HI,15,Hawaii,0.4952749154887849
ID,16,Idaho,0.7453906753232981
IL,17,Illinois,0.31234927123655354
IN,18,Indiana,0.013486907880973065
IA,19,Iowa,0.04365092084703415
KS,20,Kansas,0.7181430070740719
KY,21,Kentucky,0.619474151031105
LA,22,Louisiana,0.36499778326836063
ME,23,Maine,0.6646706879372453
MD,24,Maryland,0.7448654957026558
MA,25,Massachusetts,0.7475846412985435
MI,26,Michigan,0.028948254649606042
MN,27,Minnesota,0.806941962721095
MS,28,Mississippi,0.6803701159793901
MO,29,Missouri,0.21932716749181602
MT,30,Montana,0.5099445286026867
NE,31,Nebraska,0.9359025057656633
NV,32,Nevada,0.9135475010421471
NH,33,New Hampshire,0.08508019928245647
NJ,34,New Jersey,0.8950276737128561
NM,35,New Mexico,0.8031228869876259
NY,36,New York,0.3353885687288005
NC,37,North Carolina,0.7290420331154454
ND,38,North Dakota,0.9792222004258003
OH,39,Ohio,0.717321421140742
OK,40,Oklahoma,0.5141743578581814
OR,41,Oregon,0.2646719973745828
PA,42,Pennsylvania,0.7593046208473286
RI,44,Rhode Island,0.9883855421497423
SC,45,South Carolina,0.9765096658691564
SD,46,South Dakota,0.9964251680925917
TN,47,Tennessee,0.16818215864271224
TX,48,Texas,0.08993775637334422
UT,49,Utah,0.045456436182991
VT,50,Vermont,0.691195639355363
VA,51,Virginia,0.6820138030288122
WA,53,Washington,0.9816232371636352
WV,54,West Virginia,0.81343238737599
WI,55,Wisconsin,0.7888644440525268
WY,56,Wyoming,0.8660944329225166
PR,72,Puerto Rico,0.22965149816809982
