Country,Growth_Rate
ABW,0.9756800273365661
AFG,0.7871490680255379
AGO,0.9182313333238803
AIA,0.31978033493930846
ALA,0.6230708111045222
ALB,0.956620515149837
AND,0.4484586800521082
ARE,0.6765478869261978
ARG,0.15715468446920655
ARM,0.11399322399673628
ASM,0.15506082262733678
ATA,0.8828483531180857
ATF,0.43702603902294146
ATG,0.511036679659869
AUS,0.2235436455715082
AUT,0.01887132343814313
AZE,0.6792767432022239
BDI,0.9232350135454421
BEL,0.6429864742840564
BEN,0.5058564332952065
BES,0.954469711515166
BFA,0.7599800510824104
BGD,0.13818766747252675
BGR,0.925216256014856
BHR,0.4266996013894503
BHS,0.4905668503683669
BIH,0.009733553200980571
BLM,0.6972292665556477
BLR,0.5553592138879463
BLZ,0.4584753490499144
BMU,0.7759728242715235
BOL,0.27016660935754866
BRA,0.7342893720693341
BRB,0.2592601156911414
BRN,0.6924004229730405
BTN,0.6332092547748562
BVT,0.02896069841919613
BWA,0.7161042379174413
CAF,0.269738238402501
CAN,0.5777881354259508
CCK,0.6722639786102674
CHE,0.9706704498113572
CHL,0.8839752333533551
CHN,0.510459559023955
CIV,0.18993015062241836
CMR,0.5116458451123258
COD,0.7665992279270134
COG,0.255667193261053
COK,0.5000400138586905
COL,0.6567635249890471
COM,0.18045630063279894
CPV,0.27823819062067323
CRI,0.4364369439593331
CUB,0.2921598569585169
CUW,0.8513793066438183
CXR,0.18544207102165733
CYM,0.9827848937993171
CYP,0.2570053792268989
CZE,0.055945672661978585
DEU,0.965129812412691
DJI,0.018777108619198346
DMA,0.4120891225852109
DNK,0.9184062966460113
DOM,0.2091900914520286
DZA,0.15245227868734224
ECU,0.5195395372072006
EGY,0.25155809740108637
ERI,0.2419543345028764
ESH,0.1965799643460412
ESP,0.09728820804180671
EST,0.9690936673332502
ETH,0.5253397941795052
FIN,0.9427143507250937
FJI,0.563007461822176
FLK,0.36222693465751166
FRA,0.4402568603222462
FRO,0.5516591066703129
FSM,0.6233604400139618
GAB,0.3108832212498839
GBR,0.04285782444453057
GEO,0.9705747245632275
GGY,0.5123992887830637
GHA,0.8567888077678277
GIB,0.4852197702576858
GIN,0.32027140606111104
GLP,0.15804019030359728
GMB,0.5221931715675867
GNB,0.8766455904492897
GNQ,0.737476082914474
GRC,0.4264431996456819
GRD,0.06539875601772482
GRL,0.9101660230394703
GTM,0.831030848828408
GUF,0.6443859295606493
GUM,0.7777314016224758
GUY,0.632410037277649
HKG,0.029632723137102412
HMD,0.29454523074808336
HND,0.8100278147030793
HRV,0.6532424935539284
HTI,0.37103657296654413
HUN,0.034605797659326254
IDN,0.7141873608860633
IMN,0.5462159265758086
IND,0.5126068474304348
