Country,NUTS1_ID,NUTS_NAME,Growth_Rate
ALB,AL0,Shqipëria,0.10048314068397501
AUT,AT2,Südösterreich,0.80502742326167
AUT,AT3,Westösterreich,0.809634297926389
AUT,AT1,Ostösterreich,0.17984930970707902
BEL,BE3,Région wallonne,0.5382719733183285
BEL,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.15750499224193215
BEL,BE2,Vlaams Gewest,0.5004766637592819
BGR,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,0.6914753554863222
BGR,BG3,Severna i Yugoiztochna Bulgaria,0.9043870844303754
CHE,CH0,Schweiz/Suisse/Svizzera,0.583012940082816
CYP,CY0,Kýpros,0.7663991868005392
CZE,CZ0,Česko,0.5081459687552525
DEU,DEF,Schleswig-Holstein,0.6536024996272531
DEU,DE8,Mecklenburg-Vorpommern,0.004069505081187752
DEU,DEG,Thüringen,0.5272166340518446
DEU,DE9,Niedersachsen,0.06436949913778323
DEU,DE1,Baden-Württemberg,0.6721792974052686
DEU,DEA,Nordrhein-Westfalen,0.16099601936469166
DEU,DEB,Rheinland-Pfalz,0.22430175011099585
DEU,DEC,Saarland,0.36618788525369383
DEU,DE2,Bayern,0.7186381173893374
DEU,DE3,Berlin,0.5166868102123889
DEU,DED,Sachsen,0.44293031905216995
DEU,DE4,Brandenburg,0.86689135873019
DEU,DE5,Bremen,0.32961480743561
DEU,DE6,Hamburg,0.6909793613941323
DEU,DEE,Sachsen-Anhalt,0.23311109287567833
DEU,DE7,Hessen,0.9736124531016919
DNK,DK0,Danmark,0.288972742344795
ESP,ES2,Noreste,0.4180421884180887
ESP,ES3,Comunidad de Madrid,0.08582883276759667
ESP,ES4,Centro (ES),0.43542232406492254
ESP,ES5,Este,0.9586026311727012
ESP,ES1,Noroeste,0.552647287102742
ESP,ES6,Sur,0.33651940097555877
EST,EE0,Eesti,0.6266868343218732
FIN,FI1,Manner-Suomi,0.7233656734385163
FIN,FI2,Åland,0.6874805674036836
FRA,FRF,Grand Est,0.42849673752482353
FRA,FRK,Auvergne-Rhône-Alpes,0.7440612913789193
FRA,FRG,Pays de la Loire,0.2937422743318111
FRA,FRL,Provence-Alpes-Côte d’Azur,0.18747651041720226
FRA,FRM,Corse,0.8025814448156781
FRA,FRH,Bretagne,0.2873905099088675
FRA,FRI,Nouvelle-Aquitaine,0.9382456535201703
FRA,FRE,Hauts-de-France,0.28827300163738034
FRA,FRJ,Occitanie,0.6336349634067228
FRA,FR1,Ile-de-France,0.44850761421248764
FRA,FRC,Bourgogne-Franche-Comté,0.12421394381883699
FRA,FRD,Normandie,0.0659519302773992
FRA,FRB,Centre — Val de Loire,0.3536815460539716
HRV,HR0,Hrvatska,0.967577853376899
HUN,HU2,Dunántúl,0.9655901189959192
HUN,HU1,Közép-Magyarország,0.061664139641162796
HUN,HU3,Alföld és Észak,0.7194328927840293
IRL,IE0,Ireland,0.3367137740368723
ISL,IS0,Ísland,0.9643319422080674
ITA,ITC,Nord-Ovest,0.21774705762339674
ITA,ITH,Nord-Est,0.03342268103368129
ITA,ITF,Sud,0.5781452867377742
ITA,ITG,Isole,0.07134744535504656
ITA,ITI,Centro (IT),0.43224661784534546
LIE,LI0,Liechtenstein,0.3221398852927617
LTU,LT0,Lietuva,0.7187619493896198
LUX,LU0,Luxembourg,0.05920886612161069
LVA,LV0,Latvija,0.7355836837649388
MKD,MK0,Severna Makedonija ,0.06515242653468079
MLT,MT0,Malta,0.2663470658899163
MNE,ME0,Crna Gora,0.9872974769490044
NLD,NL1,Noord-Nederland,0.44875974025364684
NLD,NL2,Oost-Nederland,0.02358168326982857
NLD,NL3,West-Nederland,0.5678605984580345
NLD,NL4,Zuid-Nederland,0.8947663832711404
NOR,NO0,Norge,0.23494851062983524
POL,PL4,Makroregion północno-zachodni,0.025730165299660435
POL,PL5,Makroregion południowo-zachodni,0.3002587025313822
POL,PL6,Makroregion północny,0.2643020783158142
POL,PL7,Makroregion centralny,0.21964803842482783
POL,PL8,Makroregion wschodni,0.9766419748494198
POL,PL9,Makroregion województwo mazowieckie,0.9509308589496775
POL,PL2,Makroregion południowy,0.12844204852285046
PRT,PT3,Região Autónoma da Madeira,0.3677613533061094
PRT,PT1,Continente,0.6293877592786576
PRT,PT2,Região Autónoma dos Açores,0.5195552852964632
ROU,RO1,Macroregiunea Unu,0.7546210284606476
ROU,RO2,Macroregiunea Doi,0.6028048033542046
ROU,RO3,Macroregiunea Trei,0.3043710676889376
ROU,RO4,Macroregiunea Patru,0.7052982780372719
SRB,RS1,Serbia - sever,0.05445997303818628
SRB,RS2,Serbia - jug ,0.8390340145699055
SVK,SK0,Slovensko,0.39185547673226706
SVN,SI0,Slovenija,0.9830533387321911
SWE,SE1,Östra Sverige,0.4389886434573298
SWE,SE2,Södra Sverige,0.38969330436778704
SWE,SE3,Norra Sverige,0.20573787032386237
TUR,TR4,Doğu Marmara,0.360660056728608
TUR,TR8,Batı Karadeniz,0.9984142551880009
TUR,TR9,Doğu Karadeniz,0.7066240872959599
TUR,TRA,Kuzeydoğu Anadolu,0.43685478925502086
TUR,TRB,Ortadoğu Anadolu,0.6826570118238596
TUR,TRC,Güneydoğu Anadolu,0.06756425837485636
TUR,TR1,İstanbul,0.44371542727253044
TUR,TR5,Batı Anadolu,0.47602396682757686
TUR,TR2,Batı Marmara,0.35893457664248984
TUR,TR6,Akdeniz,0.4670290268993744
TUR,TR7,Orta Anadolu,0.21202845750381927
TUR,TR3,Ege,0.05840945940954623
