State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.6567606270527055
AK,2,Alaska,0.06834127301066528
AZ,4,Arizona,0.005717098887357719
AR,5,Arkansas,0.7010051150478782
CA,6,California,0.5771748966586988
CO,8,Colorado,0.0592150045206673
CT,9,Connecticut,0.2328925803924048
DE,10,Delaware,0.5073402740267778
DC,11,District of Columbia,0.5118590305386129
FL,12,Florida,0.41404714032461565
GA,13,Georgia,0.12595984656963077
HI,15,Hawaii,0.15445641626950146
ID,16,Idaho,0.7440322571307018
IL,17,Illinois,0.8525442271961128
IN,18,Indiana,0.8895926675599978
IA,19,Iowa,0.013721736919727112
KS,20,Kansas,0.815295481689884
KY,21,Kentucky,0.6020486577195191
LA,22,Louisiana,0.9405263441774175
ME,23,Maine,0.7745637737772345
MD,24,Maryland,0.9262110319523986
MA,25,Massachusetts,0.7594690027393047
MI,26,Michigan,0.9771053263198638
MN,27,Minnesota,0.8933624544168125
MS,28,Mississippi,0.9433724325027734
MO,29,Missouri,0.6431918349208251
MT,30,Montana,0.9944327755683913
NE,31,Nebraska,0.32698810753671104
NV,32,Nevada,0.2922938712182348
NH,33,New Hampshire,0.4051842333864274
NJ,34,New Jersey,0.2519501082059713
NM,35,New Mexico,0.6732791497466456
NY,36,New York,0.09234688896571763
NC,37,North Carolina,0.9150944223693538
ND,38,North Dakota,0.6214005542167689
OH,39,Ohio,0.895897280933618
OK,40,Oklahoma,0.3401332691627027
OR,41,Oregon,0.294135158749237
PA,42,Pennsylvania,0.8369187957965449
RI,44,Rhode Island,0.13810968595629447
SC,45,South Carolina,0.37889644266609235
SD,46,South Dakota,0.6288172453163948
TN,47,Tennessee,0.044884298519192734
TX,48,Texas,0.6080652525404029
UT,49,Utah,0.2334123866677864
VT,50,Vermont,0.001600224737659528
VA,51,Virginia,0.5305397229145804
WA,53,Washington,0.2882220183569053
WV,54,West Virginia,0.8095281510146431
WI,55,Wisconsin,0.3240042940081489
WY,56,Wyoming,0.20934659868176286
PR,72,Puerto Rico,0.7040294997962758
