Country,Business Risk
ABW,9
AFG,94
AGO,54
AIA,90
ALA,69
ALB,54
AND,14
ARE,4
ARG,97
ARM,92
ASM,38
ATA,76
ATF,18
ATG,48
AUS,12
AUT,11
AZE,28
BDI,0
BEL,67
BEN,43
BES,10
BFA,45
BGD,68
BGR,48
BHR,32
BHS,54
BIH,70
BLM,86
BLR,21
BLZ,73
BMU,94
BOL,79
BRA,62
BRB,47
BRN,14
BTN,34
BVT,99
BWA,55
CAF,3
CAN,52
CCK,38
CHE,7
CHL,27
CHN,89
CIV,75
CMR,59
COD,33
COG,72
COK,19
COL,13
COM,23
CPV,43
CRI,32
CUB,17
CUW,11
CXR,15
CYM,75
CYP,68
CZE,16
DEU,1
DJI,60
DMA,21
DNK,78
DOM,42
DZA,1
ECU,20
EGY,42
ERI,13
ESH,5
ESP,84
EST,48
ETH,8
FIN,64
FJI,63
FLK,11
FRA,9
FRO,85
FSM,26
GAB,74
GBR,35
GEO,56
GGY,40
GHA,43
GIB,59
GIN,0
GLP,23
GMB,58
GNB,69
GNQ,22
GRC,91
GRD,36
GRL,99
GTM,70
GUF,25
GUM,2
GUY,20
HKG,37
HMD,28
HND,64
HRV,31
HTI,1
HUN,4
IDN,84
IMN,62
IND,56
IOT,35
IRL,84
IRN,8
IRQ,49
ISL,60
ISR,0
ITA,53
JAM,94
JEY,52
JOR,40
JPN,10
KAZ,70
KEN,81
KGZ,19
KHM,99
KIR,98
KNA,50
KOR,8
KWT,40
LAO,62
LBN,28
LBR,43
LBY,29
LCA,62
LIE,74
LKA,62
LSO,6
LTU,73
LUX,50
LVA,41
MAC,47
MAF,5
MAR,12
MCO,10
MDA,16
MDG,93
MDV,71
MEX,82
MHL,73
MKD,66
MLI,54
MLT,14
MMR,40
MNE,79
MNG,14
MNP,9
MOZ,7
MRT,29
MSR,53
MTQ,64
MUS,52
MWI,9
MYS,84
MYT,19
NAM,38
NCL,10
NER,31
NFK,85
NGA,51
NIC,41
NIU,61
NLD,67
NOR,23
NPL,76
NRU,28
NZL,81
OMN,4
PAK,15
PAN,51
PCN,61
PER,20
PHL,71
PLW,99
PNG,56
POL,40
PRI,95
PRK,13
PRT,40
PRY,66
PSE,87
PYF,38
QAT,92
REU,16
ROU,55
RUS,41
RWA,49
SAU,11
SDN,66
SEN,75
SGP,47
SGS,99
SHN,68
SJM,94
SLB,56
SLE,33
SLV,34
SMR,84
SOM,45
SPM,77
SRB,86
SSD,25
STP,12
SUR,12
SVK,95
SVN,25
SWE,55
SWZ,93
SXM,11
SYC,42
SYR,16
TCA,66
TCD,47
TGO,42
THA,75
TJK,28
TKL,62
TKM,74
TLS,4
TON,29
TTO,19
TUN,83
TUR,97
TUV,77
TWN,23
TZA,83
UGA,28
UKR,18
UMI,90
URY,15
USA,33
UZB,70
VAT,53
VCT,24
VEN,5
VGB,52
VIR,91
VNM,89
VUT,5
WLF,8
WSM,73
YEM,60
ZAF,61
ZMB,14
ZWE,54
