Country,Overall Risk
ABW,30
AFG,46
AGO,58
AIA,68
ALA,44
ALB,62
AND,40
ARE,34
ARG,83
ARM,59
ASM,29
ATA,50
ATF,44
ATG,49
AUS,52
AUT,40
AZE,49
BDI,41
BEL,61
BEN,49
BES,35
BFA,49
BGD,55
BGR,63
BHR,65
BHS,52
BIH,52
BLM,47
BLR,40
BLZ,58
BMU,61
BOL,50
BRA,46
BRB,28
BRN,30
BTN,60
BVT,52
BWA,48
CAF,38
CAN,54
CCK,55
CHE,43
CHL,38
CHN,35
CIV,57
CMR,55
COD,28
COG,38
COK,57
COL,42
COM,49
CPV,53
CRI,37
CUB,60
CUW,45
CXR,32
CYM,57
CYP,63
CZE,34
DEU,40
DJI,29
DMA,47
DNK,59
DOM,45
DZA,58
ECU,48
EGY,36
ERI,62
ESH,26
ESP,46
EST,54
ETH,55
FIN,64
FJI,71
FLK,31
FRA,53
FRO,64
FSM,47
GAB,63
GBR,44
GEO,33
GGY,51
GHA,57
GIB,69
GIN,58
GLP,39
GMB,65
GNB,60
GNQ,39
GRC,50
GRD,44
GRL,76
GTM,53
GUF,38
GUM,25
GUY,42
HKG,58
HMD,56
HND,53
HRV,48
HTI,45
HUN,29
IDN,60
IMN,46
IND,50
IOT,36
IRL,53
IRN,42
IRQ,44
ISL,30
ISR,45
ITA,43
JAM,46
JEY,41
JOR,52
JPN,39
KAZ,63
KEN,39
KGZ,45
KHM,80
KIR,48
KNA,53
KOR,37
KWT,56
LAO,48
LBN,40
LBR,39
LBY,54
LCA,49
LIE,59
LKA,57
LSO,44
LTU,61
LUX,61
LVA,35
MAC,43
MAF,65
MAR,27
MCO,47
MDA,51
MDG,60
MDV,62
MEX,48
MHL,47
MKD,59
MLI,52
MLT,59
MMR,44
MNE,55
MNG,47
MNP,32
MOZ,53
MRT,38
MSR,56
MTQ,55
MUS,59
MWI,50
MYS,70
MYT,35
NAM,46
NCL,36
NER,38
NFK,69
NGA,42
NIC,37
NIU,38
NLD,58
NOR,47
NPL,57
NRU,41
NZL,66
OMN,31
PAK,39
PAN,40
PCN,52
PER,34
PHL,71
PLW,60
PNG,35
POL,31
PRI,45
PRK,42
PRT,49
PRY,53
PSE,48
PYF,41
QAT,60
REU,60
ROU,80
RUS,49
RWA,25
SAU,55
SDN,40
SEN,68
SGP,32
SGS,48
SHN,32
SJM,66
SLB,66
SLE,41
SLV,32
SMR,44
SOM,46
SPM,66
SRB,55
SSD,54
STP,19
SUR,43
SVK,56
SVN,43
SWE,71
SWZ,60
SXM,60
SYC,61
SYR,50
TCA,53
TCD,47
TGO,38
THA,62
TJK,51
TKL,61
TKM,54
TLS,44
TON,47
TTO,33
TUN,48
TUR,67
TUV,53
TWN,57
TZA,32
UGA,37
UKR,53
UMI,57
URY,52
USA,40
UZB,52
VAT,59
VCT,38
VEN,32
VGB,41
VIR,67
VNM,58
VUT,36
WLF,42
WSM,55
YEM,34
ZAF,35
ZMB,45
ZWE,50
