Country,Financial Risk
ABW,68
AFG,35
AGO,33
AIA,83
ALA,35
ALB,64
AND,91
ARE,14
ARG,55
ARM,24
ASM,7
ATA,49
ATF,54
ATG,15
AUS,78
AUT,30
AZE,38
BDI,48
BEL,92
BEN,6
BES,15
BFA,6
BGD,79
BGR,99
BHR,97
BHS,72
BIH,29
BLM,36
BLR,74
BLZ,5
BMU,50
BOL,70
BRA,53
BRB,43
BRN,8
BTN,38
BVT,16
BWA,47
CAF,6
CAN,64
CCK,22
CHE,51
CHL,97
CHN,32
CIV,44
CMR,42
COD,38
COG,28
COK,33
COL,48
COM,15
CPV,72
CRI,78
CUB,73
CUW,43
CXR,82
CYM,72
CYP,41
CZE,32
DEU,4
DJI,33
DMA,14
DNK,80
DOM,9
DZA,67
ECU,43
EGY,3
ERI,79
ESH,71
ESP,66
EST,92
ETH,88
FIN,82
FJI,60
FLK,8
FRA,67
FRO,28
FSM,52
GAB,66
GBR,63
GEO,44
GGY,69
GHA,55
GIB,56
GIN,64
GLP,47
GMB,86
GNB,92
GNQ,36
GRC,4
GRD,3
GRL,85
GTM,70
GUF,55
GUM,70
GUY,55
HKG,69
HMD,99
HND,87
HRV,39
HTI,57
HUN,0
IDN,62
IMN,10
IND,9
IOT,25
IRL,48
IRN,42
IRQ,91
ISL,14
ISR,68
ITA,2
JAM,22
JEY,23
JOR,88
JPN,7
KAZ,46
KEN,55
KGZ,12
KHM,28
KIR,44
KNA,81
KOR,76
KWT,82
LAO,45
LBN,52
LBR,67
LBY,65
LCA,70
LIE,58
LKA,30
LSO,32
LTU,50
LUX,84
LVA,9
MAC,38
MAF,95
MAR,45
MCO,68
MDA,62
MDG,44
MDV,93
MEX,60
MHL,47
MKD,73
MLI,32
MLT,92
MMR,58
MNE,56
MNG,89
MNP,0
MOZ,81
MRT,31
MSR,87
MTQ,38
MUS,96
MWI,84
MYS,74
MYT,5
NAM,62
NCL,74
NER,7
NFK,99
NGA,13
NIC,92
NIU,25
NLD,88
NOR,26
NPL,75
NRU,12
NZL,85
OMN,40
PAK,66
PAN,44
PCN,28
PER,19
PHL,88
PLW,66
PNG,4
POL,28
PRI,51
PRK,45
PRT,34
PRY,14
PSE,65
PYF,48
QAT,41
REU,80
ROU,46
RUS,34
RWA,11
SAU,70
SDN,72
SEN,26
SGP,61
SGS,55
SHN,85
SJM,95
SLB,53
SLE,63
SLV,15
SMR,37
SOM,4
SPM,97
SRB,77
SSD,95
STP,4
SUR,12
SVK,41
SVN,73
SWE,92
SWZ,46
SXM,28
SYC,62
SYR,33
TCA,57
TCD,33
TGO,21
THA,72
TJK,17
TKL,98
TKM,58
TLS,85
TON,52
TTO,21
TUN,37
TUR,61
TUV,7
TWN,44
TZA,9
UGA,17
UKR,11
UMI,81
URY,62
USA,32
UZB,13
VAT,38
VCT,12
VEN,61
VGB,22
VIR,97
VNM,54
VUT,79
WLF,39
WSM,71
YEM,33
ZAF,78
ZMB,79
ZWE,29
