Country,Growth_Rate,Sector
THA,0.0092069658794243,Agriculture
SVK,0.0235795510626573,Agriculture
FIN,0.0164203612479474,Agriculture
EST,0.0644362115611781,Agriculture
LTU,0.06127977532483,Agriculture
PAK,0.117709713709142,Agriculture
KAZ,0.034108342064892,Agriculture
CAN,0.0501843027044641,Agriculture
PRT,0.0360762467724363,Agriculture
NOR,0.0144127011525896,Agriculture
BEL,0.027740890688259,Agriculture
COL,0.0494438682450555,Agriculture
USA,0.052870090634441,Agriculture
ROU,0.0722631634304531,Agriculture
TWN,-0.0610506729026119,Agriculture
IDN,0.103273262808041,Agriculture
BGR,0.0394647332617257,Agriculture
CHE,0.002586568061349,Agriculture
DZA,0.0284152016080518,Agriculture
ALB,-0.0237881903900713,Agriculture
POL,0.0152952280035413,Agriculture
MYS,0.0206720659072374,Agriculture
GBR,0.0338372429510576,Agriculture
ITA,0.018638664036291,Agriculture
ISL,0.0596941896024466,Agriculture
RUS,-0.0081340577095421,Agriculture
JPN,0.013000013000013,Agriculture
AUS,0.0326082714298723,Agriculture
PHL,0.0496924134244932,Agriculture
HUN,0.0387731481481481,Agriculture
LVA,0.0518903188983657,Agriculture
KOR,0.0385183052529098,Agriculture
SWE,0.0165993654562613,Agriculture
ZAF,0.0524752475247525,Agriculture
VNM,0.0509531057476262,Agriculture
FRA,0.0301017216251778,Agriculture
SVN,0.029668667963952,Agriculture
DEU,0.0162087519309986,Agriculture
DNK,0.0109433226870295,Agriculture
ESP,0.0217873916819691,Agriculture
MAR,0.042621544441002,Agriculture
NZL,0.0505792244797392,Agriculture
SGP,-0.0090360104023157,Agriculture
SRB,0.0276167134915417,Agriculture
MKD,0.0308950884021186,Agriculture
TUR,0.17414252372172,Agriculture
MDA,-0.0232299857080278,Agriculture
HKG,-0.052073461730987,Agriculture
MEX,0.115910935774442,Agriculture
AUT,0.0163218288736285,Agriculture
CZE,0.02687595712098,Agriculture
UKR,0.070165303698124,Agriculture
ISR,0.185360893140616,Agriculture
LUX,0.0209883336178136,Agriculture
MNE,-0.002261668108954,Agriculture
MLT,0.0531223895895767,Agriculture
BIH,0.0098522167487684,Agriculture
HRV,0.0136419408098674,Agriculture
IRN,0.306823235386001,Agriculture
GRC,0.030720026977842,Agriculture
NLD,0.0421613225341173,Agriculture
IND,0.0624721150653319,Agriculture
BRA,0.0636730946371109,Agriculture
