Country,Social Risk
AFG,79
AGO,85
ALB,29
ARE,27
ARG,36
ARM,36
ATG,22
AUS,20
AUT,17
AZE,37
BDI,74
BEL,20
BEN,73
BFA,78
BGD,44
BGR,31
BHR,31
BHS,37
BIH,45
BLR,38
BLZ,50
BMU,21
BOL,59
BRA,48
BRB,21
BRN,32
BTN,42
BWA,51
CAF,91
CAN,23
CHE,15
CHL,37
CHN,40
CIV,71
CMR,69
COD,83
COG,79
COL,50
COM,58
CPV,33
CRI,29
CUB,38
CYM,14
CYP,26
CZE,24
DEU,21
DJI,74
DMA,27
DNK,12
DOM,38
DZA,42
ECU,49
EGY,44
ERI,72
ESP,27
EST,19
ETH,73
FIN,12
FJI,38
FRA,21
GAB,59
GBR,20
GEO,39
GHA,56
GIN,77
GMB,62
GNB,75
GNQ,68
GRC,28
GRD,28
GTM,60
GUY,58
HKG,34
HND,56
HRV,25
HTI,72
HUN,24
IDN,45
IND,52
IRL,17
IRN,56
IRQ,61
ISL,14
ISR,29
ITA,26
JAM,41
JOR,33
JPN,15
KAZ,45
KEN,64
KGZ,42
KHM,47
KIR,41
KNA,38
KOR,18
KWT,33
LAO,57
LBN,53
LBR,79
LBY,66
LCA,32
LKA,42
LSO,59
LTU,28
LUX,19
LVA,29
MAC,32
MAR,47
MDA,38
MDG,66
MDV,34
MEX,46
MKD,44
MLI,79
MLT,26
MMR,66
MNE,36
MNG,50
MOZ,79
MRT,72
MUS,34
MWI,71
MYS,39
NAM,62
NER,80
NGA,69
NIC,58
NLD,12
NOR,15
NPL,56
NZL,20
OMN,24
PAK,64
PAN,42
PER,47
PHL,45
PNG,72
POL,24
PRK,58
PRT,22
PRY,43
PSE,56
QAT,32
ROU,31
RUS,35
RWA,51
SAU,25
SDN,76
SEN,61
SGP,17
SLB,55
SLE,75
SLV,43
SOM,78
SRB,37
SSD,89
STP,55
SUR,46
SVK,18
SVN,18
SWE,16
SWZ,64
SYC,29
SYR,60
TCD,82
TGO,73
THA,32
TJK,52
TKM,50
TLS,55
TON,33
TTO,33
TUN,39
TUR,42
TUV,46
TWN,29
TZA,60
UGA,68
UKR,35
URY,25
USA,25
UVK,49
UZB,36
VCT,38
VEN,59
VNM,36
VUT,46
WSM,35
YEM,75
ZAF,56
ZMB,77
ZWE,68
