parent,child,Count,Growth_Rate,Type
,Oststeiermark,2051,0.8201028345692872,Overall
Oststeiermark,Technology,188,0.14871269073544513,Sector
Oststeiermark,Healthcare,160,0.9654762010797101,Sector
Oststeiermark,Finance,226,0.19052369875951503,Sector
Oststeiermark,Energy,219,0.4739488822879089,Sector
Oststeiermark,Consumer Goods,199,0.2773805590054288,Sector
Oststeiermark,Utilities,189,0.8985982204503903,Sector
Oststeiermark,Real Estate,216,0.44694777253277385,Sector
Oststeiermark,Telecommunications,156,0.5599982026402593,Sector
Oststeiermark,Materials,122,0.9458808009913799,Sector
Oststeiermark,Industrials,173,0.3635030753490721,Sector
Oststeiermark,Consumer Services,77,0.08697773418140331,Sector
Oststeiermark,Transportation,126,0.039960516955444336,Sector
Technology,Software,92,0.10787795615720397,Industry
Technology,Hardware,40,0.3936612990360786,Industry
Technology,IT Services,56,0.23154626967658964,Industry
Healthcare,Pharmaceuticals,7,0.8607197974491658,Industry
Healthcare,Medical Devices,59,0.06796690196565724,Industry
Healthcare,Healthcare Services,94,0.3614938131201485,Industry
Finance,Banking,98,0.859274406244134,Industry
Finance,Insurance,82,0.28300646076022296,Industry
Finance,Investment Services,46,0.4520565363775817,Industry
Energy,Oil & Gas,51,0.42141712153815636,Industry
Energy,Renewable Energy,82,0.960564147328414,Industry
Energy,Energy Exploration,86,0.6545266784714504,Industry
Consumer Goods,Food & Beverage,79,0.6934963123406926,Industry
Consumer Goods,Household Products,71,0.45041620314018516,Industry
Consumer Goods,Apparel,49,0.44605799723081385,Industry
Utilities,Electric,86,0.8589883216785317,Industry
Utilities,Water,91,0.18240001765752734,Industry
Utilities,Gas,12,0.6878208385879393,Industry
Real Estate,Residential,98,0.22489079842182513,Industry
Real Estate,Commercial,80,0.3016930922871558,Industry
Real Estate,Industrial,38,0.7732968815684136,Industry
Telecommunications,Mobile,70,0.8538934760058347,Industry
Telecommunications,Broadband,85,0.25474357199938213,Industry
Telecommunications,Satellite,1,0.7690850995993715,Industry
Materials,Chemicals,22,0.6225085768378044,Industry
Materials,Metals & Mining,58,0.5937008461066097,Industry
Materials,Construction Materials,42,0.31113871469773835,Industry
Industrials,Aerospace & Defense,88,0.9597057961341456,Industry
Industrials,Machinery,22,0.317800164900639,Industry
Industrials,Industrial Services,63,0.2550749116713704,Industry
Consumer Services,Retail,36,0.9697385004085656,Industry
Consumer Services,Travel & Leisure,1,0.4070840860286171,Industry
Consumer Services,Media,40,0.06862583151991863,Industry
Transportation,Airlines,89,0.7201292515341697,Industry
Transportation,Railroads,4,0.3237153611332596,Industry
Transportation,Logistics,33,0.1081006806230782,Industry
