parent,child,Count,Growth_Rate,Type
,Jugovzhodna Slovenija,1701,0.3434416914783328,Overall
Jugovzhodna Slovenija,Technology,97,0.349350423756263,Sector
Jugovzhodna Slovenija,Healthcare,184,0.5191241277073239,Sector
Jugovzhodna Slovenija,Finance,162,0.667270971829582,Sector
Jugovzhodna Slovenija,Energy,106,0.48531736728364916,Sector
Jugovzhodna Slovenija,Consumer Goods,97,0.7589710788778536,Sector
Jugovzhodna Slovenija,Utilities,184,0.36081580852805417,Sector
Jugovzhodna Slovenija,Real Estate,164,0.6632875364628438,Sector
Jugovzhodna Slovenija,Telecommunications,191,0.9805304883810892,Sector
Jugovzhodna Slovenija,Materials,168,0.8545048374960437,Sector
Jugovzhodna Slovenija,Industrials,98,0.8655329714094677,Sector
Jugovzhodna Slovenija,Consumer Services,87,0.3760211117174369,Sector
Jugovzhodna Slovenija,Transportation,163,0.7851154913877547,Sector
Technology,Software,0,0.8407025779940597,Industry
Technology,Hardware,48,0.3903411772665517,Industry
Technology,IT Services,49,0.3524920271493299,Industry
Healthcare,Pharmaceuticals,91,0.8711736259470588,Industry
Healthcare,Medical Devices,85,0.5121669574935768,Industry
Healthcare,Healthcare Services,8,0.43762482936934055,Industry
Finance,Banking,6,0.29804421138356896,Industry
Finance,Insurance,82,0.40461113502027346,Industry
Finance,Investment Services,74,0.8460549642158963,Industry
Energy,Oil & Gas,29,0.7120673130614502,Industry
Energy,Renewable Energy,62,0.29638691388904725,Industry
Energy,Energy Exploration,15,0.4693655648628281,Industry
Consumer Goods,Food & Beverage,45,0.9494700818015386,Industry
Consumer Goods,Household Products,31,0.38117802215596286,Industry
Consumer Goods,Apparel,21,0.08820938025601988,Industry
Utilities,Electric,87,0.13067804975175146,Industry
Utilities,Water,68,0.22969004071916854,Industry
Utilities,Gas,29,0.49812379281607877,Industry
Real Estate,Residential,52,0.16893063272900832,Industry
Real Estate,Commercial,52,0.08973389299552537,Industry
Real Estate,Industrial,60,0.08597938875488165,Industry
Telecommunications,Mobile,49,0.2958061368297341,Industry
Telecommunications,Broadband,96,0.3338985240130685,Industry
Telecommunications,Satellite,46,0.34665753816279965,Industry
Materials,Chemicals,27,0.9961388291666723,Industry
Materials,Metals & Mining,56,0.8493035296613954,Industry
Materials,Construction Materials,85,0.25608927740836707,Industry
Industrials,Aerospace & Defense,39,0.7532671965492885,Industry
Industrials,Machinery,6,0.08232721914374597,Industry
Industrials,Industrial Services,53,0.9309715451506444,Industry
Consumer Services,Retail,12,0.9750127471386189,Industry
Consumer Services,Travel & Leisure,45,0.6651107191035416,Industry
Consumer Services,Media,30,0.8350697945160862,Industry
Transportation,Airlines,36,0.982591702285637,Industry
Transportation,Railroads,45,0.5718195362339794,Industry
Transportation,Logistics,82,0.18091800507160483,Industry
