parent,child,Count,Growth_Rate,Type
,Pirotska oblast,2015,0.5593798964463539,Overall
Pirotska oblast,Technology,206,0.6545153174427334,Sector
Pirotska oblast,Healthcare,229,0.5324835013258377,Sector
Pirotska oblast,Finance,49,0.22665554906580654,Sector
Pirotska oblast,Energy,159,0.47987458492091595,Sector
Pirotska oblast,Consumer Goods,243,0.27251758744900134,Sector
Pirotska oblast,Utilities,210,0.8720810950462932,Sector
Pirotska oblast,Real Estate,93,0.4574733466099169,Sector
Pirotska oblast,Telecommunications,230,0.49612666437176,Sector
Pirotska oblast,Materials,83,0.8930952245937706,Sector
Pirotska oblast,Industrials,189,0.8734019710555638,Sector
Pirotska oblast,Consumer Services,80,0.03898111040309438,Sector
Pirotska oblast,Transportation,244,0.06879529650336302,Sector
Technology,Software,81,0.5431701755904772,Industry
Technology,Hardware,26,0.4764186081083581,Industry
Technology,IT Services,99,0.1758800046885367,Industry
Healthcare,Pharmaceuticals,98,0.9160458484637131,Industry
Healthcare,Medical Devices,96,0.0788909059103936,Industry
Healthcare,Healthcare Services,35,0.647943062313511,Industry
Finance,Banking,26,0.3929479628323921,Industry
Finance,Insurance,4,0.15125029460571116,Industry
Finance,Investment Services,19,0.5626125566660358,Industry
Energy,Oil & Gas,58,0.7081374527719922,Industry
Energy,Renewable Energy,88,0.86537936340199,Industry
Energy,Energy Exploration,13,0.3848308523619999,Industry
Consumer Goods,Food & Beverage,66,0.731590313774177,Industry
Consumer Goods,Household Products,97,0.16763067383739783,Industry
Consumer Goods,Apparel,80,0.30064779081030113,Industry
Utilities,Electric,70,0.2117620890278169,Industry
Utilities,Water,50,0.001778549573555832,Industry
Utilities,Gas,90,0.8903847892361241,Industry
Real Estate,Residential,24,0.9585734319430963,Industry
Real Estate,Commercial,34,0.7905123847273211,Industry
Real Estate,Industrial,35,0.7360591895424992,Industry
Telecommunications,Mobile,72,0.8059576489428575,Industry
Telecommunications,Broadband,87,0.7948446602658231,Industry
Telecommunications,Satellite,71,0.8067303231533202,Industry
Materials,Chemicals,5,0.9636180701737922,Industry
Materials,Metals & Mining,6,0.317399288313002,Industry
Materials,Construction Materials,72,0.6290465419788619,Industry
Industrials,Aerospace & Defense,93,0.24922052420727947,Industry
Industrials,Machinery,28,0.8330993679190517,Industry
Industrials,Industrial Services,68,0.9092266500996191,Industry
Consumer Services,Retail,3,0.6070757872835929,Industry
Consumer Services,Travel & Leisure,9,0.9052963949455176,Industry
Consumer Services,Media,68,0.15280633451390058,Industry
Transportation,Airlines,67,0.17526845149025105,Industry
Transportation,Railroads,92,0.6320824366085149,Industry
Transportation,Logistics,85,0.9954038049470287,Industry
