parent,child,Count,Growth_Rate,Type
,Algarve,1837,0.6251502670163938,Overall
Algarve,Technology,85,0.6945768747397033,Sector
Algarve,Healthcare,213,0.37166779386330095,Sector
Algarve,Finance,170,0.8357685429590828,Sector
Algarve,Energy,102,0.5631655561069,Sector
Algarve,Consumer Goods,113,0.720378760286977,Sector
Algarve,Utilities,164,0.932209013892506,Sector
Algarve,Real Estate,150,0.9973608736691696,Sector
Algarve,Telecommunications,146,0.58487586683226,Sector
Algarve,Materials,113,0.5750298132631153,Sector
Algarve,Industrials,97,0.8792866886627966,Sector
Algarve,Consumer Services,209,0.4270593613635625,Sector
Algarve,Transportation,275,0.00716594950031435,Sector
Technology,Software,12,0.7070008552486127,Industry
Technology,Hardware,9,0.16854687445124672,Industry
Technology,IT Services,64,0.3777351837813905,Industry
Healthcare,Pharmaceuticals,59,0.2137957754301817,Industry
Healthcare,Medical Devices,77,0.7247412943279106,Industry
Healthcare,Healthcare Services,77,0.15957679321199536,Industry
Finance,Banking,11,0.8027525565802659,Industry
Finance,Insurance,60,0.7416324392996647,Industry
Finance,Investment Services,99,0.1481844270889079,Industry
Energy,Oil & Gas,6,0.8285951880173456,Industry
Energy,Renewable Energy,30,0.9579198674433838,Industry
Energy,Energy Exploration,66,0.0412112002557562,Industry
Consumer Goods,Food & Beverage,21,0.49582425301748667,Industry
Consumer Goods,Household Products,76,0.5073899434423905,Industry
Consumer Goods,Apparel,16,0.04547154347160587,Industry
Utilities,Electric,73,0.09830550227863266,Industry
Utilities,Water,84,0.971691113028144,Industry
Utilities,Gas,7,0.7727168571235334,Industry
Real Estate,Residential,96,0.45293594639546253,Industry
Real Estate,Commercial,17,0.07382860314863515,Industry
Real Estate,Industrial,37,0.516211388409533,Industry
Telecommunications,Mobile,52,0.5996524896796271,Industry
Telecommunications,Broadband,63,0.39848712865483016,Industry
Telecommunications,Satellite,31,0.7000436370210542,Industry
Materials,Chemicals,10,0.9567058034259103,Industry
Materials,Metals & Mining,4,0.7092893093464832,Industry
Materials,Construction Materials,99,0.3212174720540312,Industry
Industrials,Aerospace & Defense,14,0.9628385311882832,Industry
Industrials,Machinery,22,0.9174622639966147,Industry
Industrials,Industrial Services,61,0.6573923863911401,Industry
Consumer Services,Retail,36,0.6033594929447804,Industry
Consumer Services,Travel & Leisure,93,0.42828691442680944,Industry
Consumer Services,Media,80,0.7184225022334413,Industry
Transportation,Airlines,88,0.9000478552830654,Industry
Transportation,Railroads,99,0.31926097688674315,Industry
Transportation,Logistics,88,0.029985846156797558,Industry
