Country,NUTS1_ID,NUTS_NAME
AL,AL0,Shqipëria
AT,AT2,Südösterreich
AT,AT3,Westösterreich
AT,AT1,Ostösterreich
BE,BE3,Région wallonne
BE,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest
BE,BE2,Vlaams Gewest
BG,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria
BG,BG3,Severna i Yugoiztochna Bulgaria
CH,CH0,Schweiz/Suisse/Svizzera
CY,CY0,Kýpros
CZ,CZ0,Česko
DE,DEF,Schleswig-Holstein
DE,DE8,Mecklenburg-Vorpommern
DE,DEG,Thüringen
DE,DE9,Niedersachsen
DE,DE1,Baden-Württemberg
DE,DEA,Nordrhein-Westfalen
DE,DEB,Rheinland-Pfalz
DE,DEC,Saarland
DE,DE2,Bayern
DE,DE3,Berlin
DE,DED,Sachsen
DE,DE4,Brandenburg
DE,DE5,Bremen
DE,DE6,Hamburg
DE,DEE,Sachsen-Anhalt
DE,DE7,Hessen
DK,DK0,Danmark
ES,ES2,Noreste
ES,ES3,Comunidad de Madrid
ES,ES4,Centro (ES)
ES,ES5,Este
ES,ES1,Noroeste
ES,ES6,Sur
EE,EE0,Eesti
FI,FI1,Manner-Suomi
FI,FI2,Åland
FR,FRF,Grand Est
FR,FRK,Auvergne-Rhône-Alpes
FR,FRG,Pays de la Loire
FR,FRL,Provence-Alpes-Côte d’Azur
FR,FRM,Corse
FR,FRH,Bretagne
FR,FRI,Nouvelle-Aquitaine
FR,FRE,Hauts-de-France
FR,FRJ,Occitanie
FR,FR1,Ile-de-France
FR,FRC,Bourgogne-Franche-Comté
FR,FRD,Normandie
FR,FRB,Centre — Val de Loire
HR,HR0,Hrvatska
HU,HU2,Dunántúl
HU,HU1,Közép-Magyarország
HU,HU3,Alföld és Észak
IE,IE0,Ireland
IS,IS0,Ísland
IT,ITC,Nord-Ovest
IT,ITH,Nord-Est
IT,ITF,Sud
IT,ITG,Isole
IT,ITI,Centro (IT)
LI,LI0,Liechtenstein
LT,LT0,Lietuva
LU,LU0,Luxembourg
LV,LV0,Latvija
MK,MK0,Severna Makedonija 
MT,MT0,Malta
ME,ME0,Crna Gora
NL,NL1,Noord-Nederland
NL,NL2,Oost-Nederland
NL,NL3,West-Nederland
NL,NL4,Zuid-Nederland
NO,NO0,Norge
PL,PL4,Makroregion północno-zachodni
PL,PL5,Makroregion południowo-zachodni
PL,PL6,Makroregion północny
PL,PL7,Makroregion centralny
PL,PL8,Makroregion wschodni
PL,PL9,Makroregion województwo mazowieckie
PL,PL2,Makroregion południowy
PT,PT3,Região Autónoma da Madeira
PT,PT1,Continente
PT,PT2,Região Autónoma dos Açores
RO,RO1,Macroregiunea Unu
RO,RO2,Macroregiunea Doi
RO,RO3,Macroregiunea Trei
RO,RO4,Macroregiunea Patru
RS,RS1,Serbia - sever
RS,RS2,Serbia - jug 
SK,SK0,Slovensko
SI,SI0,Slovenija
SE,SE1,Östra Sverige
SE,SE2,Södra Sverige
SE,SE3,Norra Sverige
TR,TR4,Doğu Marmara
TR,TR8,Batı Karadeniz
TR,TR9,Doğu Karadeniz
TR,TRA,Kuzeydoğu Anadolu
TR,TRB,Ortadoğu Anadolu
TR,TRC,Güneydoğu Anadolu
TR,TR1,İstanbul
TR,TR5,Batı Anadolu
TR,TR2,Batı Marmara
TR,TR6,Akdeniz
TR,TR7,Orta Anadolu
TR,TR3,Ege
