Country,NUTS2_ID,NUTS_NAME,NUTS1_ID
AL,AL01,Veri,AL0
AL,AL02,Qender,AL0
AL,AL03,Jug,AL0
AT,AT11,Burgenland,AT1
AT,AT12,Niederösterreich,AT1
AT,AT13,Wien,AT1
AT,AT21,Kärnten,AT2
AT,AT22,Steiermark,AT2
AT,AT31,Oberösterreich,AT3
AT,AT32,Salzburg,AT3
AT,AT33,Tirol,AT3
AT,AT34,Vorarlberg,AT3
BE,BE22,Prov. Limburg (BE),BE2
BE,BE23,Prov. Oost-Vlaanderen,BE2
BE,BE34,Prov. Luxembourg (BE),BE3
BE,BE35,Prov. Namur,BE3
BE,BE24,Prov. Vlaams-Brabant,BE2
BE,BE25,Prov. West-Vlaanderen,BE2
BE,BE31,Prov. Brabant wallon,BE3
BE,BE32,Prov. Hainaut,BE3
BE,BE33,Prov. Liège,BE3
BE,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE1
BE,BE21,Prov. Antwerpen,BE2
BG,BG31,Severozapaden,BG3
BG,BG32,Severen tsentralen,BG3
BG,BG33,Severoiztochen,BG3
BG,BG34,Yugoiztochen,BG3
BG,BG41,Yugozapaden,BG4
BG,BG42,Yuzhen tsentralen,BG4
CH,CH07,Ticino,CH0
CH,CH01,Région lémanique,CH0
CH,CH02,Espace Mittelland,CH0
CH,CH03,Nordwestschweiz,CH0
CH,CH04,Zürich,CH0
CH,CH05,Ostschweiz,CH0
CH,CH06,Zentralschweiz,CH0
CY,CY00,Kýpros,CY0
CZ,CZ02,Střední Čechy,CZ0
CZ,CZ03,Jihozápad,CZ0
CZ,CZ04,Severozápad,CZ0
CZ,CZ05,Severovýchod,CZ0
CZ,CZ06,Jihovýchod,CZ0
CZ,CZ07,Střední Morava,CZ0
CZ,CZ08,Moravskoslezsko,CZ0
CZ,CZ01,Praha,CZ0
DE,DEB1,Koblenz,DEB
DE,DEB2,Trier,DEB
DE,DE13,Freiburg,DE1
DE,DE72,Gießen,DE7
DE,DEB3,Rheinhessen-Pfalz,DEB
DE,DE14,Tübingen,DE1
DE,DE73,Kassel,DE7
DE,DEC0,Saarland,DEC
DE,DE21,Oberbayern,DE2
DE,DEG0,Thüringen,DEG
DE,DE22,Niederbayern,DE2
DE,DE80,Mecklenburg-Vorpommern,DE8
DE,DE23,Oberpfalz,DE2
DE,DE91,Braunschweig,DE9
DE,DE24,Oberfranken,DE2
DE,DE92,Hannover,DE9
DE,DED2,Dresden,DED
DE,DE25,Mittelfranken,DE2
DE,DE93,Lüneburg,DE9
DE,DED4,Chemnitz,DED
DE,DE26,Unterfranken,DE2
DE,DE94,Weser-Ems,DE9
DE,DED5,Leipzig,DED
DE,DEA1,Düsseldorf,DEA
