State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.6360548771549756
AK,2,Alaska,0.8242356785654258
AZ,4,Arizona,0.6765509965125539
AR,5,Arkansas,0.6649542912465278
CA,6,California,0.6922214277068384
CO,8,Colorado,0.5652539857687349
CT,9,Connecticut,0.8306972967635767
DE,10,Delaware,0.29548617406737965
DC,11,District of Columbia,0.9299384011630002
FL,12,Florida,0.08639306650818634
GA,13,Georgia,0.12031022891155141
HI,15,Hawaii,0.9047428322686305
ID,16,Idaho,0.6403965782831113
IL,17,Illinois,0.8298296030136886
IN,18,Indiana,0.14672832754900467
IA,19,Iowa,0.05052030092350435
KS,20,Kansas,0.8926081522353875
KY,21,Kentucky,0.3873177491667631
LA,22,Louisiana,0.42505799347425877
ME,23,Maine,0.7180098781358978
MD,24,Maryland,0.8039481170999978
MA,25,Massachusetts,0.4414616078968926
MI,26,Michigan,0.2709788949994596
MN,27,Minnesota,0.35648538268916363
MS,28,Mississippi,0.5827214799787993
MO,29,Missouri,0.8243274277075751
MT,30,Montana,0.4842514546341079
NE,31,Nebraska,0.5273223760991244
NV,32,Nevada,0.7915355652782609
NH,33,New Hampshire,0.23696921811974558
NJ,34,New Jersey,0.6717719941915883
NM,35,New Mexico,0.1101752595169464
NY,36,New York,0.5866200767380434
NC,37,North Carolina,0.5003086037184479
ND,38,North Dakota,0.11202223495782404
OH,39,Ohio,0.4883938998385471
OK,40,Oklahoma,0.8559209122518773
OR,41,Oregon,0.8738104449110615
PA,42,Pennsylvania,0.17611409493511776
RI,44,Rhode Island,0.32788661033127176
SC,45,South Carolina,0.6127636979442139
SD,46,South Dakota,0.8048827190445197
TN,47,Tennessee,0.8760357186111147
TX,48,Texas,0.1650732615123477
UT,49,Utah,0.9875900847626521
VT,50,Vermont,0.4457762984836654
VA,51,Virginia,0.3769585864693392
WA,53,Washington,0.4353487122476919
WV,54,West Virginia,0.2002906340848849
WI,55,Wisconsin,0.6619559105470421
WY,56,Wyoming,0.1894057073788007
PR,72,Puerto Rico,0.4828584732021267
