Country,Political Risk
AFG,75
AGO,65
ALB,46
ARE,43
ARG,23
ARM,45
ATG,28
AUS,9
AUT,10
AZE,66
BDI,69
BEL,8
BEN,51
BFA,61
BGD,67
BGR,29
BHR,60
BHS,19
BIH,54
BLR,62
BLZ,33
BMU,16
BOL,54
BRA,35
BRB,18
BRN,35
BTN,28
BWA,38
CAF,75
CAN,13
CHE,5
CHL,19
CHN,60
CIV,52
CMR,60
COD,72
COG,65
COL,42
COM,68
CPV,20
CRI,11
CUB,54
CYM,20
CYP,29
CZE,15
DEU,7
DJI,59
DMA,18
DNK,6
DOM,38
DZA,63
ECU,52
EGY,72
ERI,74
ESP,19
EST,15
ETH,60
FIN,7
FJI,47
FRA,13
GAB,62
GBR,12
GEO,39
GHA,38
GIN,67
GMB,49
GNB,69
GNQ,61
GRC,26
GRD,25
GTM,59
GUY,46
HKG,41
HND,55
HRV,27
HTI,73
HUN,50
IDN,49
IND,57
IRL,10
IRN,73
IRQ,69
ISL,8
ISR,35
ITA,14
JAM,24
JOR,57
JPN,16
KAZ,57
KEN,48
KGZ,65
KHM,69
KIR,46
KNA,24
KOR,22
KWT,57
LAO,67
LBN,74
LBR,57
LBY,74
LCA,25
LKA,54
LSO,42
LTU,20
LUX,10
LVA,15
MAC,17
MAR,51
MDA,34
MDG,65
MDV,44
MEX,50
MKD,49
MLI,68
MLT,15
MMR,78
MNE,38
MNG,54
MOZ,64
MRT,67
MUS,35
MWI,51
MYS,42
NAM,33
NER,56
NGA,67
NIC,62
NLD,8
NOR,9
NPL,48
NZL,8
OMN,56
PAK,64
PAN,32
PER,45
PHL,49
PNG,62
POL,28
PRK,76
PRT,15
PRY,51
PSE,69
QAT,64
ROU,36
RUS,74
RWA,41
SAU,71
SDN,74
SEN,35
SGP,26
SLB,55
SLE,54
SLV,58
SOM,78
SRB,53
SSD,74
STP,38
SUR,37
SVK,19
SVN,12
SWE,8
SWZ,62
SYC,20
SYR,77
TCD,74
TGO,54
THA,63
TJK,66
TKM,67
TLS,44
TON,40
TTO,28
TUN,52
TUR,69
TUV,56
TWN,14
TZA,47
UGA,55
UKR,57
URY,13
USA,19
UVK,39
UZB,59
VCT,21
VEN,77
VNM,55
VUT,30
WSM,20
YEM,78
ZAF,33
ZMB,52
ZWE,68
