State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.38244370057459653
AK,2,Alaska,0.4340201540472626
AZ,4,Arizona,0.4896985322613936
AR,5,Arkansas,0.7472982699016548
CA,6,California,0.8944624019097233
CO,8,Colorado,0.0018097924151376787
CT,9,Connecticut,0.06302242174425654
DE,10,Delaware,0.40556320224547404
DC,11,District of Columbia,0.2418254692600723
FL,12,Florida,0.08601058730309497
GA,13,Georgia,0.41794098033062166
HI,15,Hawaii,0.7614717576991492
ID,16,Idaho,0.03244490351038265
IL,17,Illinois,0.4666324446469875
IN,18,Indiana,0.4498437356940501
IA,19,Iowa,0.6653309518846248
KS,20,Kansas,0.29571128086803744
KY,21,Kentucky,0.15900948982671703
LA,22,Louisiana,0.10860508340391861
ME,23,Maine,0.6128863264516861
MD,24,Maryland,0.8006852197786462
MA,25,Massachusetts,0.7852998314660221
MI,26,Michigan,0.918220283618513
MN,27,Minnesota,0.6176821868202704
MS,28,Mississippi,0.530818228365884
MO,29,Missouri,0.3117349721143037
MT,30,Montana,0.8073256008101278
NE,31,Nebraska,0.4345831922173723
NV,32,Nevada,0.3751549720824565
NH,33,New Hampshire,0.5329622952059178
NJ,34,New Jersey,0.44464659505892645
NM,35,New Mexico,0.0059228760852917395
NY,36,New York,0.916581782588467
NC,37,North Carolina,0.30739991003565303
ND,38,North Dakota,0.05183412344980809
OH,39,Ohio,0.23068606611411058
OK,40,Oklahoma,0.9289038535929236
OR,41,Oregon,0.12964145175650932
PA,42,Pennsylvania,0.9980835171120768
RI,44,Rhode Island,0.06597826497842307
SC,45,South Carolina,0.9362988024677794
SD,46,South Dakota,0.4866910152597732
TN,47,Tennessee,0.02792433644068204
TX,48,Texas,0.7179795297044463
UT,49,Utah,0.36554044543730857
VT,50,Vermont,0.1282350800277975
VA,51,Virginia,0.18413229759831928
WA,53,Washington,0.6211714204054529
WV,54,West Virginia,0.13685584691995245
WI,55,Wisconsin,0.21652305645567704
WY,56,Wyoming,0.34144756664166365
PR,72,Puerto Rico,0.8855323129016568
