parent,child,Count,Growth_Rate,Type
,Alentejo Litoral,1926,0.6455377936258714,Overall
Alentejo Litoral,Technology,119,0.8188793508077079,Sector
Alentejo Litoral,Healthcare,168,0.7101071323240156,Sector
Alentejo Litoral,Finance,157,0.6149816368002599,Sector
Alentejo Litoral,Energy,245,0.5300112488998401,Sector
Alentejo Litoral,Consumer Goods,82,0.9690331338251408,Sector
Alentejo Litoral,Utilities,160,0.07628550475523299,Sector
Alentejo Litoral,Real Estate,189,0.12153985962471048,Sector
Alentejo Litoral,Telecommunications,207,0.8532713373730314,Sector
Alentejo Litoral,Materials,136,0.9976434894355299,Sector
Alentejo Litoral,Industrials,129,0.40515619982671225,Sector
Alentejo Litoral,Consumer Services,190,0.590845735579536,Sector
Alentejo Litoral,Transportation,144,0.5032762695326445,Sector
Technology,Software,24,0.788577249256811,Industry
Technology,Hardware,74,0.6648834194824317,Industry
Technology,IT Services,21,0.5851699506704573,Industry
Healthcare,Pharmaceuticals,63,0.3007766498580249,Industry
Healthcare,Medical Devices,81,0.5676672355065834,Industry
Healthcare,Healthcare Services,24,0.6930785314555046,Industry
Finance,Banking,60,0.01169700125106099,Industry
Finance,Insurance,94,0.16032923500577256,Industry
Finance,Investment Services,3,0.4781764387327492,Industry
Energy,Oil & Gas,99,0.9246467666376366,Industry
Energy,Renewable Energy,95,0.7504338103506373,Industry
Energy,Energy Exploration,51,0.19742119592861795,Industry
Consumer Goods,Food & Beverage,32,0.07848436918221169,Industry
Consumer Goods,Household Products,13,0.7760696407942246,Industry
Consumer Goods,Apparel,37,0.466958712926431,Industry
Utilities,Electric,96,0.4662480817154474,Industry
Utilities,Water,53,0.49913681734140636,Industry
Utilities,Gas,11,0.9049226264655481,Industry
Real Estate,Residential,50,0.116021683797363,Industry
Real Estate,Commercial,65,0.2744406765687546,Industry
Real Estate,Industrial,74,0.5862615194386227,Industry
Telecommunications,Mobile,75,0.08447487845033341,Industry
Telecommunications,Broadband,70,0.23695137055142867,Industry
Telecommunications,Satellite,62,0.45609307710547653,Industry
Materials,Chemicals,62,0.8256659652061362,Industry
Materials,Metals & Mining,22,0.2831295457382613,Industry
Materials,Construction Materials,52,0.7377963539744223,Industry
Industrials,Aerospace & Defense,21,0.1768865187502625,Industry
Industrials,Machinery,65,0.04100073617376465,Industry
Industrials,Industrial Services,43,0.6752363432967391,Industry
Consumer Services,Retail,81,0.9761530000852735,Industry
Consumer Services,Travel & Leisure,96,0.9907126040919462,Industry
Consumer Services,Media,13,0.3138905948514642,Industry
Transportation,Airlines,64,0.6862489146321933,Industry
Transportation,Railroads,58,0.003740757379934734,Industry
Transportation,Logistics,22,0.5637465589501649,Industry
