parent,child,Count,Growth_Rate,Type
,Saalekreis,1630,0.8950262740142148,Overall
Saalekreis,Technology,137,0.6218233333580275,Sector
Saalekreis,Healthcare,149,0.7124878905073636,Sector
Saalekreis,Finance,96,0.21344478321431093,Sector
Saalekreis,Energy,172,0.49071787690635726,Sector
Saalekreis,Consumer Goods,115,0.06491783557031239,Sector
Saalekreis,Utilities,121,0.9852429981143503,Sector
Saalekreis,Real Estate,167,0.36261179927324294,Sector
Saalekreis,Telecommunications,152,0.3603262650307283,Sector
Saalekreis,Materials,110,0.5045698579112499,Sector
Saalekreis,Industrials,155,0.6741610569506761,Sector
Saalekreis,Consumer Services,206,0.0780876541301152,Sector
Saalekreis,Transportation,50,0.1477585422136255,Sector
Technology,Software,0,0.3484138354256655,Industry
Technology,Hardware,92,0.32638641645917554,Industry
Technology,IT Services,45,0.491756260780177,Industry
Healthcare,Pharmaceuticals,60,0.450311088091887,Industry
Healthcare,Medical Devices,31,0.1118225490303476,Industry
Healthcare,Healthcare Services,58,0.2598910006181342,Industry
Finance,Banking,58,0.5083996512002937,Industry
Finance,Insurance,6,0.5434036549222118,Industry
Finance,Investment Services,32,0.20412554459048182,Industry
Energy,Oil & Gas,34,0.06242628805692707,Industry
Energy,Renewable Energy,73,0.3203401328284571,Industry
Energy,Energy Exploration,65,0.7128817401208245,Industry
Consumer Goods,Food & Beverage,43,0.16288940027342813,Industry
Consumer Goods,Household Products,7,0.3082895505629045,Industry
Consumer Goods,Apparel,65,0.4172067732828787,Industry
Utilities,Electric,32,0.10256477103261152,Industry
Utilities,Water,31,0.43138336364617025,Industry
Utilities,Gas,58,0.5734640638580993,Industry
Real Estate,Residential,87,0.03349351574212456,Industry
Real Estate,Commercial,43,0.7388958823458021,Industry
Real Estate,Industrial,37,0.7473551306386143,Industry
Telecommunications,Mobile,69,0.007932486458058441,Industry
Telecommunications,Broadband,62,0.6845256249287979,Industry
Telecommunications,Satellite,21,0.23653067068267475,Industry
Materials,Chemicals,98,0.5038786100058475,Industry
Materials,Metals & Mining,0,0.249319710052607,Industry
Materials,Construction Materials,12,0.40705367057177655,Industry
Industrials,Aerospace & Defense,22,0.2640187103859273,Industry
Industrials,Machinery,46,0.5505380431629151,Industry
Industrials,Industrial Services,87,0.39411640633216116,Industry
Consumer Services,Retail,83,0.8035333978499851,Industry
Consumer Services,Travel & Leisure,78,0.7057156405371438,Industry
Consumer Services,Media,45,0.7167534538382393,Industry
Transportation,Airlines,0,0.7043178353998536,Industry
Transportation,Railroads,7,0.9900750126510449,Industry
Transportation,Logistics,43,0.11727222955700056,Industry
