parent,child,Count,Growth_Rate,Type
,Haute-Corse,738,0.508864206048634,Overall
Haute-Corse,HiTech,42,0.8865117504116838,Sector
Haute-Corse,Agriculture,70,0.31536570030898625,Sector
Haute-Corse,Transportation,85,0.46182093416960357,Sector
Haute-Corse,Consumer_Products,43,0.8793720418058807,Sector
Haute-Corse,Unassigned,13,0.4783975237570367,Sector
Haute-Corse,Communication,95,0.19040205252848452,Sector
Haute-Corse,Trade,27,0.7631152462346046,Sector
Haute-Corse,Business_Services,38,0.03314038952363696,Sector
Haute-Corse,Business_Products,65,0.5650904306512375,Sector
Haute-Corse,Construction,1,0.9507973969807562,Sector
Haute-Corse,Services,91,0.09108082569744747,Sector
Haute-Corse,Mining,37,0.028580230342140522,Sector
Haute-Corse,Health_Care,24,0.49100770913297165,Sector
Haute-Corse,EnergyExpL_Prod,23,0.8680467743466195,Sector
Haute-Corse,Utilities,84,0.6302340848384206,Sector
