parent,child,Count,Growth_Rate,Type
,Côte-d’Or,2093,0.6704313733913354,Overall
Côte-d’Or,Technology,162,0.3390186600013686,Sector
Côte-d’Or,Healthcare,190,0.6286904181260767,Sector
Côte-d’Or,Finance,164,0.865533434594691,Sector
Côte-d’Or,Energy,173,0.2884406203978501,Sector
Côte-d’Or,Consumer Goods,260,0.2303475355162935,Sector
Côte-d’Or,Utilities,181,0.42896608609170606,Sector
Côte-d’Or,Real Estate,169,0.4085884028899578,Sector
Côte-d’Or,Telecommunications,208,0.49828770685034995,Sector
Côte-d’Or,Materials,155,0.8895695095576003,Sector
Côte-d’Or,Industrials,124,0.1597232725531217,Sector
Côte-d’Or,Consumer Services,181,0.012172184889579163,Sector
Côte-d’Or,Transportation,126,0.28652240925716355,Sector
Technology,Software,74,0.6246845802420886,Industry
Technology,Hardware,49,0.036379149674963696,Industry
Technology,IT Services,39,0.3025764411137877,Industry
Healthcare,Pharmaceuticals,69,0.26642900210296483,Industry
Healthcare,Medical Devices,29,0.8676549363648873,Industry
Healthcare,Healthcare Services,92,0.6084660444637208,Industry
Finance,Banking,65,0.11220928795398899,Industry
Finance,Insurance,27,0.3477100610555006,Industry
Finance,Investment Services,72,0.24518664306266513,Industry
Energy,Oil & Gas,51,0.403663632832972,Industry
Energy,Renewable Energy,47,0.7714757948632693,Industry
Energy,Energy Exploration,75,0.331041464756645,Industry
Consumer Goods,Food & Beverage,76,0.4076055982761855,Industry
Consumer Goods,Household Products,90,0.0174903624683318,Industry
Consumer Goods,Apparel,94,0.565054669305375,Industry
Utilities,Electric,26,0.8400356649085526,Industry
Utilities,Water,69,0.8141328712736808,Industry
Utilities,Gas,86,0.4963298502761906,Industry
Real Estate,Residential,36,0.6461993476977297,Industry
Real Estate,Commercial,35,0.7415631273301954,Industry
Real Estate,Industrial,98,0.6641251936994961,Industry
Telecommunications,Mobile,69,0.9938767518092284,Industry
Telecommunications,Broadband,78,0.3641580529769112,Industry
Telecommunications,Satellite,61,0.10942501346689881,Industry
Materials,Chemicals,52,0.9756562978711366,Industry
Materials,Metals & Mining,11,0.8739413189471724,Industry
Materials,Construction Materials,92,0.9316113629467009,Industry
Industrials,Aerospace & Defense,58,0.8781683048028845,Industry
Industrials,Machinery,14,0.9422014456878148,Industry
Industrials,Industrial Services,52,0.10200678701004318,Industry
Consumer Services,Retail,69,0.08746680694098374,Industry
Consumer Services,Travel & Leisure,73,0.6883986789157602,Industry
Consumer Services,Media,39,0.1412790497462989,Industry
Transportation,Airlines,42,0.3792076504937454,Industry
Transportation,Railroads,30,0.6370765999443301,Industry
Transportation,Logistics,54,0.7243830390909531,Industry
