State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.42368779926219235
AK,2,Alaska,0.6787773438282535
AZ,4,Arizona,0.6871969299621767
AR,5,Arkansas,0.25953392226532657
CA,6,California,0.29781027141086225
CO,8,Colorado,0.5464892034137829
CT,9,Connecticut,0.4368593619067739
DE,10,Delaware,0.15416661885163985
DC,11,District of Columbia,0.24030928242375893
FL,12,Florida,0.9517968691884118
GA,13,Georgia,0.47841664304357956
HI,15,Hawaii,0.9525686913233541
ID,16,Idaho,0.9700173540865156
IL,17,Illinois,0.10810059409441475
IN,18,Indiana,0.07734414414207802
IA,19,Iowa,0.04117406710500948
KS,20,Kansas,0.851366475315318
KY,21,Kentucky,0.28671549752892245
LA,22,Louisiana,0.44332725232732695
ME,23,Maine,0.865421738469074
MD,24,Maryland,0.2737943921808951
MA,25,Massachusetts,0.47058855250637344
MI,26,Michigan,0.458637233371869
MN,27,Minnesota,0.4777396199099284
MS,28,Mississippi,0.1222624818110335
MO,29,Missouri,0.3813601152009721
MT,30,Montana,0.6966984844860378
NE,31,Nebraska,0.9762613210582449
NV,32,Nevada,0.3740415227528806
NH,33,New Hampshire,0.9967041188032323
NJ,34,New Jersey,0.030043440092753948
NM,35,New Mexico,0.8301074032828661
NY,36,New York,0.7306370910068839
NC,37,North Carolina,0.437263824020344
ND,38,North Dakota,0.37854017353187874
OH,39,Ohio,0.647537135277848
OK,40,Oklahoma,0.34934800959061074
OR,41,Oregon,0.46716964368895686
PA,42,Pennsylvania,0.23938813875141052
RI,44,Rhode Island,0.8767093257076246
SC,45,South Carolina,0.9440093522570915
SD,46,South Dakota,0.8066074237280364
TN,47,Tennessee,0.6961831453652553
TX,48,Texas,0.05076167589971681
UT,49,Utah,0.7451999268162585
VT,50,Vermont,0.39114595502538685
VA,51,Virginia,0.3520063700766717
WA,53,Washington,0.09064016346376513
WV,54,West Virginia,0.8208623501279673
WI,55,Wisconsin,0.5259383878382745
WY,56,Wyoming,0.2433342214320403
PR,72,Puerto Rico,0.9479569047261015
