Country,NUTS1_ID,NUTS_NAME,Growth_Rate
ALB,AL0,Shqipëria,0.03957591340684752
AUT,AT2,Südösterreich,0.35277507951968123
AUT,AT3,Westösterreich,0.7908472047091845
AUT,AT1,Ostösterreich,0.1290726364507485
BEL,BE3,Région wallonne,0.5892135386156451
BEL,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.2579598438677405
BEL,BE2,Vlaams Gewest,0.5136632114727897
BGR,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,0.7552220305174884
BGR,BG3,Severna i Yugoiztochna Bulgaria,0.23102403655268
CHE,CH0,Schweiz/Suisse/Svizzera,0.560053782706154
CYP,CY0,Kýpros,0.8786228755023665
CZE,CZ0,Česko,0.42915894471974925
DEU,DEF,Schleswig-Holstein,0.6326898245432373
DEU,DE8,Mecklenburg-Vorpommern,0.3651135648170575
DEU,DEG,Thüringen,0.39291113476700057
DEU,DE9,Niedersachsen,0.09302430986093524
DEU,DE1,Baden-Württemberg,0.687170835756992
DEU,DEA,Nordrhein-Westfalen,0.734521899977035
DEU,DEB,Rheinland-Pfalz,0.7815706684476098
DEU,DEC,Saarland,0.9206899469949967
DEU,DE2,Bayern,0.5236605852268537
DEU,DE3,Berlin,0.815120294054475
DEU,DED,Sachsen,0.8587220908153167
DEU,DE4,Brandenburg,0.6263389307258493
DEU,DE5,Bremen,0.6981194794369994
DEU,DE6,Hamburg,0.47235347555510054
DEU,DEE,Sachsen-Anhalt,0.15731510449176855
DEU,DE7,Hessen,0.8751286023423703
DNK,DK0,Danmark,0.3321211737860077
ESP,ES2,Noreste,0.3747585553385352
ESP,ES3,Comunidad de Madrid,0.8952197615390124
ESP,ES4,Centro (ES),0.36881326789491253
ESP,ES5,Este,0.46442355069462415
ESP,ES1,Noroeste,0.5448176291607966
ESP,ES6,Sur,0.6321703191768038
EST,EE0,Eesti,0.9942668587990313
FIN,FI1,Manner-Suomi,0.3542542351479666
FIN,FI2,Åland,0.04395570586546338
FRA,FRF,Grand Est,0.23201588227582215
FRA,FRK,Auvergne-Rhône-Alpes,0.9853328161425753
FRA,FRG,Pays de la Loire,0.8860729935062455
FRA,FRL,Provence-Alpes-Côte d’Azur,0.4808365898402679
FRA,FRM,Corse,0.23181820373302064
FRA,FRH,Bretagne,0.9977666916569341
FRA,FRI,Nouvelle-Aquitaine,0.5981398079533219
FRA,FRE,Hauts-de-France,0.7332408073548814
FRA,FRJ,Occitanie,0.37718980095839716
FRA,FR1,Ile-de-France,0.005838712215407216
FRA,FRC,Bourgogne-Franche-Comté,0.16579835553550015
FRA,FRD,Normandie,0.7215636950259348
FRA,FRB,Centre — Val de Loire,0.9625873244734416
HRV,HR0,Hrvatska,0.3690836859119754
HUN,HU2,Dunántúl,0.06746145853540442
HUN,HU1,Közép-Magyarország,0.7977195993652811
HUN,HU3,Alföld és Észak,0.08835198751239215
IRL,IE0,Ireland,0.1540234919720017
ISL,IS0,Ísland,0.36020040100188233
ITA,ITC,Nord-Ovest,0.4504209564352105
ITA,ITH,Nord-Est,0.9199678243278835
ITA,ITF,Sud,0.12987740886759802
ITA,ITG,Isole,0.6923820234273126
ITA,ITI,Centro (IT),0.71990382783767
LIE,LI0,Liechtenstein,0.6987724439809029
LTU,LT0,Lietuva,0.6738117692884825
LUX,LU0,Luxembourg,0.9305944258290789
LVA,LV0,Latvija,0.008516583904490282
MKD,MK0,Severna Makedonija ,0.9160291511192414
MLT,MT0,Malta,0.046641323071978324
MNE,ME0,Crna Gora,0.9107201725137654
NLD,NL1,Noord-Nederland,0.5739223747539263
NLD,NL2,Oost-Nederland,0.7712310696905046
NLD,NL3,West-Nederland,0.6076455572301904
NLD,NL4,Zuid-Nederland,0.5513538924698914
NOR,NO0,Norge,0.0018327526404988692
POL,PL4,Makroregion północno-zachodni,0.02514819222730169
POL,PL5,Makroregion południowo-zachodni,0.033408455383914126
POL,PL6,Makroregion północny,0.7190935730758037
POL,PL7,Makroregion centralny,0.9065061105425501
POL,PL8,Makroregion wschodni,0.45321763015523076
POL,PL9,Makroregion województwo mazowieckie,0.013297459403802114
POL,PL2,Makroregion południowy,0.4321898470641853
PRT,PT3,Região Autónoma da Madeira,0.10118466790927572
PRT,PT1,Continente,0.38122101822535526
PRT,PT2,Região Autónoma dos Açores,0.6278072836264698
ROU,RO1,Macroregiunea Unu,0.9026339739732966
ROU,RO2,Macroregiunea Doi,0.32295565249603064
ROU,RO3,Macroregiunea Trei,0.626001653468254
ROU,RO4,Macroregiunea Patru,0.44352896208029247
SRB,RS1,Serbia - sever,0.580543890754671
SRB,RS2,Serbia - jug ,0.49865240692222457
SVK,SK0,Slovensko,0.9351694834653852
SVN,SI0,Slovenija,0.6326128118609339
SWE,SE1,Östra Sverige,0.026023310427940927
SWE,SE2,Södra Sverige,0.9449115964774035
SWE,SE3,Norra Sverige,0.052118878978497984
TUR,TR4,Doğu Marmara,0.013596004115097537
TUR,TR8,Batı Karadeniz,0.11821083885940908
TUR,TR9,Doğu Karadeniz,0.6418306716740751
TUR,TRA,Kuzeydoğu Anadolu,0.34341959563244207
TUR,TRB,Ortadoğu Anadolu,0.25224494813975795
TUR,TRC,Güneydoğu Anadolu,0.2904837500378502
TUR,TR1,İstanbul,0.28012074566245604
TUR,TR5,Batı Anadolu,0.523407811544208
TUR,TR2,Batı Marmara,0.7254017580498061
TUR,TR6,Akdeniz,0.546353542317038
TUR,TR7,Orta Anadolu,0.7947655969299411
TUR,TR3,Ege,0.8714887858862115
