State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.3909400806436193
AK,2,Alaska,0.5291136796492553
AZ,4,Arizona,0.6120510474885513
AR,5,Arkansas,0.4093561171271811
CA,6,California,0.8706720542079917
CO,8,Colorado,0.17347949619995873
CT,9,Connecticut,0.29331318793419425
DE,10,Delaware,0.5795115214300061
DC,11,District of Columbia,0.8123724170412924
FL,12,Florida,0.09256320181161126
GA,13,Georgia,0.14635126070342297
HI,15,Hawaii,0.8006376000408273
ID,16,Idaho,0.27706039604071664
IL,17,Illinois,0.4379077551220558
IN,18,Indiana,0.7962813946726048
IA,19,Iowa,0.6973838701712696
KS,20,Kansas,0.24581135207135274
KY,21,Kentucky,0.8951472150191228
LA,22,Louisiana,0.9550569154853613
ME,23,Maine,0.6118675566690949
MD,24,Maryland,0.4256539336645172
MA,25,Massachusetts,0.891907295352384
MI,26,Michigan,0.7510278876136312
MN,27,Minnesota,0.19868101323667942
MS,28,Mississippi,0.9061891421371792
MO,29,Missouri,0.14957932691136555
MT,30,Montana,0.10552747741373736
NE,31,Nebraska,0.009656848363488013
NV,32,Nevada,0.9630574205236948
NH,33,New Hampshire,0.5972252859892854
NJ,34,New Jersey,0.40801376530647593
NM,35,New Mexico,0.581279211507984
NY,36,New York,0.7362359358561075
NC,37,North Carolina,0.5292550502698864
ND,38,North Dakota,0.6086082832811147
OH,39,Ohio,0.41227364416081647
OK,40,Oklahoma,0.9031649951950199
OR,41,Oregon,0.39691319564723004
PA,42,Pennsylvania,0.8301661413159094
RI,44,Rhode Island,0.04933959090822437
SC,45,South Carolina,0.9362549252692639
SD,46,South Dakota,0.07693172964067174
TN,47,Tennessee,0.07786283973425356
TX,48,Texas,0.23115751560887676
UT,49,Utah,0.6711038822922307
VT,50,Vermont,0.19687193973517603
VA,51,Virginia,0.39632183818409905
WA,53,Washington,0.6991790874625967
WV,54,West Virginia,0.42032329314776673
WI,55,Wisconsin,0.06685790137659808
WY,56,Wyoming,0.6340580368532642
PR,72,Puerto Rico,0.8985126414829863
