Country,Growth_Rate,Sector
IND,0.0749549185268092,Communication
MYS,0.0212805050642292,Communication
ESP,0.0066225165562914,Communication
TUR,0.104725356427094,Communication
FRA,0.0290189690734086,Communication
COL,0.0101402035007849,Communication
NZL,0.0040260894332833,Communication
JPN,0.0015265303360902,Communication
HRV,-0.0016017959941098,Communication
RUS,-0.0582390926767309,Communication
PHL,0.0458344194679321,Communication
USA,0.0564355186173331,Communication
FIN,0.0149819445357076,Communication
KAZ,0.0982414171102727,Communication
SVN,0.0,Communication
ROU,0.0197931247779435,Communication
TWN,-0.0014637535423214,Communication
CAN,0.0346381523958845,Communication
MDA,0.0323377483145459,Communication
PRT,-0.0068516112703711,Communication
VNM,0.0147864449507926,Communication
ITA,0.0,Communication
ALB,-0.0489394136185728,Communication
HUN,0.0099852705707512,Communication
DZA,0.0163106851927703,Communication
LUX,0.0191915026441909,Communication
DEU,0.0294545718753089,Communication
NOR,0.009726388727393,Communication
LVA,-0.0298507462686567,Communication
SGP,0.0005769165200527,Communication
ISL,0.0272969618251047,Communication
ZAF,0.0816564796373875,Communication
HKG,0.03135015173894,Communication
GRC,-0.0072077806433082,Communication
IDN,0.0972873255309461,Communication
IRN,0.204261827497163,Communication
KOR,0.0294205932812831,Communication
PAK,-0.0033663503168867,Communication
SWE,0.0417040957696164,Communication
BIH,0.0027956769024856,Communication
AUT,0.0184357175756698,Communication
UKR,0.0505055555555556,Communication
CZE,0.0209037999569409,Communication
DNK,0.0168985591707431,Communication
MNE,-0.0449520937612314,Communication
MLT,0.0331851930702292,Communication
POL,0.0399504490554352,Communication
LTU,0.0152063189492813,Communication
AUS,0.0812801493654678,Communication
ISR,-0.0052125213559813,Communication
MAR,-0.0020906744567798,Communication
MKD,0.014861878516596,Communication
SRB,0.0378427112401628,Communication
EST,0.0092001701765582,Communication
BRA,0.0208792370823883,Communication
BEL,0.009507249284398,Communication
BGR,0.0166898470097356,Communication
GBR,0.0181818181818181,Communication
NLD,0.0063423830342027,Communication
SVK,0.012432826084214,Communication
THA,-0.0155487026984225,Communication
CHE,0.0,Communication
MEX,0.0603994397096169,Communication
