Country,NUTS1_ID,NUTS_NAME,Growth_Rate
ALB,AL0,Shqipëria,0.9161720542554717
AUT,AT2,Südösterreich,0.24649127956217276
AUT,AT3,Westösterreich,0.12597633477738246
AUT,AT1,Ostösterreich,0.687400514782964
BEL,BE3,Région wallonne,0.9305636816302192
BEL,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.9032695135421056
BEL,BE2,Vlaams Gewest,0.26643852317079153
BGR,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,0.8096620101923819
BGR,BG3,Severna i Yugoiztochna Bulgaria,0.11868431665360912
CHE,CH0,Schweiz/Suisse/Svizzera,0.24202012442812948
CYP,CY0,Kýpros,0.981766556074108
CZE,CZ0,Česko,0.882069646535281
DEU,DEF,Schleswig-Holstein,0.1544302405799307
DEU,DE8,Mecklenburg-Vorpommern,0.20506598207581417
DEU,DEG,Thüringen,0.716434380583936
DEU,DE9,Niedersachsen,0.7148876336144535
DEU,DE1,Baden-Württemberg,0.15421348396459877
DEU,DEA,Nordrhein-Westfalen,0.38525257059674456
DEU,DEB,Rheinland-Pfalz,0.6512487072746748
DEU,DEC,Saarland,0.5792551188911685
DEU,DE2,Bayern,0.5450374455443497
DEU,DE3,Berlin,0.8902750070547594
DEU,DED,Sachsen,0.9783189811214865
DEU,DE4,Brandenburg,0.31796449946537597
DEU,DE5,Bremen,0.6714216668683834
DEU,DE6,Hamburg,0.1815205319595643
DEU,DEE,Sachsen-Anhalt,0.014287334633201754
DEU,DE7,Hessen,0.7130910559517214
DNK,DK0,Danmark,0.11607400676281099
ESP,ES2,Noreste,0.940405454145195
ESP,ES3,Comunidad de Madrid,0.9836309523227035
ESP,ES4,Centro (ES),0.2276989457456201
ESP,ES5,Este,0.364634716728343
ESP,ES1,Noroeste,0.4048305132220896
ESP,ES6,Sur,0.009112240519843051
EST,EE0,Eesti,0.3109231835343368
FIN,FI1,Manner-Suomi,0.20798693258582446
FIN,FI2,Åland,0.23383805296669047
FRA,FRF,Grand Est,0.49112829070986497
FRA,FRK,Auvergne-Rhône-Alpes,0.17057711854736624
FRA,FRG,Pays de la Loire,0.9450949385280497
FRA,FRL,Provence-Alpes-Côte d’Azur,0.5280029393475465
FRA,FRM,Corse,0.052954236852073566
FRA,FRH,Bretagne,0.12624615513244275
FRA,FRI,Nouvelle-Aquitaine,0.10471665164251587
FRA,FRE,Hauts-de-France,0.9123789856105617
FRA,FRJ,Occitanie,0.7173127824307117
FRA,FR1,Ile-de-France,0.7214276686802696
FRA,FRC,Bourgogne-Franche-Comté,0.10629204084382204
FRA,FRD,Normandie,0.10678478882446096
FRA,FRB,Centre — Val de Loire,0.754626224606226
HRV,HR0,Hrvatska,0.45381164286127873
HUN,HU2,Dunántúl,0.5552223199745311
HUN,HU1,Közép-Magyarország,0.1502441161426754
HUN,HU3,Alföld és Észak,0.3828783595672326
IRL,IE0,Ireland,0.597075134574412
ISL,IS0,Ísland,0.8156973867794133
ITA,ITC,Nord-Ovest,0.10349105606014575
ITA,ITH,Nord-Est,0.1682502777736573
ITA,ITF,Sud,0.8892547817313943
ITA,ITG,Isole,0.5656030500086887
ITA,ITI,Centro (IT),0.5032640960681039
LIE,LI0,Liechtenstein,0.707348456152826
LTU,LT0,Lietuva,0.022735221636497438
LUX,LU0,Luxembourg,0.5179210659868274
LVA,LV0,Latvija,0.07372689284018374
MKD,MK0,Severna Makedonija ,0.11199480015593188
MLT,MT0,Malta,0.20990594401387286
MNE,ME0,Crna Gora,0.2680479028596451
NLD,NL1,Noord-Nederland,0.07426932042645096
NLD,NL2,Oost-Nederland,0.6640821847071035
NLD,NL3,West-Nederland,0.8889984946777794
NLD,NL4,Zuid-Nederland,0.23311356027377184
NOR,NO0,Norge,0.46824432268123106
POL,PL4,Makroregion północno-zachodni,0.9520259006890446
POL,PL5,Makroregion południowo-zachodni,0.795628082740854
POL,PL6,Makroregion północny,0.17279505740206946
POL,PL7,Makroregion centralny,0.9101715787687702
POL,PL8,Makroregion wschodni,0.7627706844502548
POL,PL9,Makroregion województwo mazowieckie,0.5137524119364166
POL,PL2,Makroregion południowy,0.4567313107860127
PRT,PT3,Região Autónoma da Madeira,0.06564770174021806
PRT,PT1,Continente,0.0690389005630565
PRT,PT2,Região Autónoma dos Açores,0.06686025852052235
ROU,RO1,Macroregiunea Unu,0.3041650703951079
ROU,RO2,Macroregiunea Doi,0.5312015226513103
ROU,RO3,Macroregiunea Trei,0.493325886381658
ROU,RO4,Macroregiunea Patru,0.4405040166634817
SRB,RS1,Serbia - sever,0.12342154678692219
SRB,RS2,Serbia - jug ,0.4576209137171847
SVK,SK0,Slovensko,0.4097771696660535
SVN,SI0,Slovenija,0.7179943491611449
SWE,SE1,Östra Sverige,0.31072582269313165
SWE,SE2,Södra Sverige,0.4976427542444164
SWE,SE3,Norra Sverige,0.9814435951398104
TUR,TR4,Doğu Marmara,0.4241681147177859
TUR,TR8,Batı Karadeniz,0.33699116989939026
TUR,TR9,Doğu Karadeniz,0.13940486526513096
TUR,TRA,Kuzeydoğu Anadolu,0.5591049222273979
TUR,TRB,Ortadoğu Anadolu,0.23806170761726375
TUR,TRC,Güneydoğu Anadolu,0.24629856153518026
TUR,TR1,İstanbul,0.0898433111564595
TUR,TR5,Batı Anadolu,0.18740144271426218
TUR,TR2,Batı Marmara,0.14491883960037288
TUR,TR6,Akdeniz,0.08822759658259272
TUR,TR7,Orta Anadolu,0.4389217149084552
TUR,TR3,Ege,0.14322767050823904
