Country,NUTS1_ID,NUTS_NAME,Growth_Rate
ALB,AL0,Shqipëria,0.14690273533675013
AUT,AT2,Südösterreich,0.1495231329016924
AUT,AT3,Westösterreich,0.3496124964663061
AUT,AT1,Ostösterreich,0.13955898963976687
BEL,BE3,Région wallonne,0.93617539712826
BEL,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.24322306805101768
BEL,BE2,Vlaams Gewest,0.11593467350678976
BGR,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,0.5840354503802216
BGR,BG3,Severna i Yugoiztochna Bulgaria,0.6083376402612165
CHE,CH0,Schweiz/Suisse/Svizzera,0.7597811975935844
CYP,CY0,Kýpros,0.23144221260775444
CZE,CZ0,Česko,0.8964895375675509
DEU,DEF,Schleswig-Holstein,0.5798328895934951
DEU,DE8,Mecklenburg-Vorpommern,0.9899114907734853
DEU,DEG,Thüringen,0.09364819752940046
DEU,DE9,Niedersachsen,0.040511189183586094
DEU,DE1,Baden-Württemberg,0.4151816144923346
DEU,DEA,Nordrhein-Westfalen,0.9421543049774727
DEU,DEB,Rheinland-Pfalz,0.35132778615332605
DEU,DEC,Saarland,0.8264501040614397
DEU,DE2,Bayern,0.38484606473087013
DEU,DE3,Berlin,0.2845519504648052
DEU,DED,Sachsen,0.8406438552483828
DEU,DE4,Brandenburg,0.22612219518267418
DEU,DE5,Bremen,0.609314790075181
DEU,DE6,Hamburg,0.00018492963446314903
DEU,DEE,Sachsen-Anhalt,0.8255316248307916
DEU,DE7,Hessen,0.02850236849346033
DNK,DK0,Danmark,0.1600317672784184
ESP,ES2,Noreste,0.7985098301246107
ESP,ES3,Comunidad de Madrid,0.7190640135876478
ESP,ES4,Centro (ES),0.6821817119012185
ESP,ES5,Este,0.2852055375901399
ESP,ES1,Noroeste,0.5029263562112872
ESP,ES6,Sur,0.5976831562599424
EST,EE0,Eesti,0.8488902451752053
FIN,FI1,Manner-Suomi,0.16567685984625669
FIN,FI2,Åland,0.07742181147015947
FRA,FRF,Grand Est,0.33976586476870885
FRA,FRK,Auvergne-Rhône-Alpes,0.15059268236136936
FRA,FRG,Pays de la Loire,0.8785798385494202
FRA,FRL,Provence-Alpes-Côte d’Azur,0.4334648474259749
FRA,FRM,Corse,0.06060171990926011
FRA,FRH,Bretagne,0.12950152251004698
FRA,FRI,Nouvelle-Aquitaine,0.4285250846526144
FRA,FRE,Hauts-de-France,0.4484239206611774
FRA,FRJ,Occitanie,0.3162346522374485
FRA,FR1,Ile-de-France,0.34145072681548483
FRA,FRC,Bourgogne-Franche-Comté,0.522980165435444
FRA,FRD,Normandie,0.24183807093919196
FRA,FRB,Centre — Val de Loire,0.8379059287529164
HRV,HR0,Hrvatska,0.6204029931499203
HUN,HU2,Dunántúl,0.27508279264975477
HUN,HU1,Közép-Magyarország,0.36948179479711984
HUN,HU3,Alföld és Észak,0.17726613407375313
IRL,IE0,Ireland,0.19311400091397768
ISL,IS0,Ísland,0.6933622708542234
ITA,ITC,Nord-Ovest,0.02728808500418778
ITA,ITH,Nord-Est,0.5102205471369685
ITA,ITF,Sud,0.3611470164936861
ITA,ITG,Isole,0.2588467943318081
ITA,ITI,Centro (IT),0.9577323532562526
LIE,LI0,Liechtenstein,0.09605793568316356
LTU,LT0,Lietuva,0.11787424380917366
LUX,LU0,Luxembourg,0.4867148933345712
LVA,LV0,Latvija,0.011434205133086683
MKD,MK0,Severna Makedonija ,0.7349768299279886
MLT,MT0,Malta,0.04632323918774284
MNE,ME0,Crna Gora,0.9644026280717428
NLD,NL1,Noord-Nederland,0.15880369250530002
NLD,NL2,Oost-Nederland,0.9838677505612904
NLD,NL3,West-Nederland,0.5441831178410123
NLD,NL4,Zuid-Nederland,0.5398466441839906
NOR,NO0,Norge,0.5964765450605385
POL,PL4,Makroregion północno-zachodni,0.4248960032219805
POL,PL5,Makroregion południowo-zachodni,0.799464445464787
POL,PL6,Makroregion północny,0.16029243627250434
POL,PL7,Makroregion centralny,0.6454831862614389
POL,PL8,Makroregion wschodni,0.8894552905244076
POL,PL9,Makroregion województwo mazowieckie,0.745675478759164
POL,PL2,Makroregion południowy,0.5501419930928904
PRT,PT3,Região Autónoma da Madeira,0.8453849188993969
PRT,PT1,Continente,0.37352682844992924
PRT,PT2,Região Autónoma dos Açores,0.09645054211969284
ROU,RO1,Macroregiunea Unu,0.9139284089931488
ROU,RO2,Macroregiunea Doi,0.7401084279487619
ROU,RO3,Macroregiunea Trei,0.08250159529651158
ROU,RO4,Macroregiunea Patru,0.5332779998632745
SRB,RS1,Serbia - sever,0.13091250175819036
SRB,RS2,Serbia - jug ,0.7405252889149759
SVK,SK0,Slovensko,0.2010891402088849
SVN,SI0,Slovenija,0.4712497027538418
SWE,SE1,Östra Sverige,0.5935481473591853
SWE,SE2,Södra Sverige,0.25014821811014776
SWE,SE3,Norra Sverige,0.8645111685274621
TUR,TR4,Doğu Marmara,0.572808568290894
TUR,TR8,Batı Karadeniz,0.619103509142614
TUR,TR9,Doğu Karadeniz,0.04106747370354813
TUR,TRA,Kuzeydoğu Anadolu,0.7601385913012798
TUR,TRB,Ortadoğu Anadolu,0.2285285844553271
TUR,TRC,Güneydoğu Anadolu,0.4015118107490995
TUR,TR1,İstanbul,0.4476881207916863
TUR,TR5,Batı Anadolu,0.9449956349049139
TUR,TR2,Batı Marmara,0.5061713114574515
TUR,TR6,Akdeniz,0.4554501879402505
TUR,TR7,Orta Anadolu,0.16366352442611487
TUR,TR3,Ege,0.9019557893979204
