State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.3858491219805965
AK,2,Alaska,0.554092684971091
AZ,4,Arizona,0.17594853753848316
AR,5,Arkansas,0.09346493496466213
CA,6,California,0.10247970796707728
CO,8,Colorado,0.2709499145213975
CT,9,Connecticut,0.7770981517336288
DE,10,Delaware,0.5247357426062218
DC,11,District of Columbia,0.004529837464818942
FL,12,Florida,0.6753463877450144
GA,13,Georgia,0.546183535228378
HI,15,Hawaii,0.7490954218809485
ID,16,Idaho,0.9191716186955262
IL,17,Illinois,0.970785430425008
IN,18,Indiana,0.13851524631452694
IA,19,Iowa,0.7226111972670406
KS,20,Kansas,0.8585908299473789
KY,21,Kentucky,0.9923508352504208
LA,22,Louisiana,0.6544710813283892
ME,23,Maine,0.48788654477328963
MD,24,Maryland,0.9533162962728488
MA,25,Massachusetts,0.5526458520315811
MI,26,Michigan,0.7416400417815662
MN,27,Minnesota,0.07446973649783717
MS,28,Mississippi,0.22139097835339716
MO,29,Missouri,0.6778968870045374
MT,30,Montana,0.1806745695116665
NE,31,Nebraska,0.0566419088393344
NV,32,Nevada,0.1277817314222981
NH,33,New Hampshire,0.12572654232314884
NJ,34,New Jersey,0.40450632418633614
NM,35,New Mexico,0.16975333319190933
NY,36,New York,0.2929537898904422
NC,37,North Carolina,0.3719811975459192
ND,38,North Dakota,0.5577244813821137
OH,39,Ohio,0.8228912248781409
OK,40,Oklahoma,0.21832091181239965
OR,41,Oregon,0.5106042067744859
PA,42,Pennsylvania,0.3625364883438028
RI,44,Rhode Island,0.6614899170572838
SC,45,South Carolina,0.6058038282218338
SD,46,South Dakota,0.2626711119330791
TN,47,Tennessee,0.5147403756469688
TX,48,Texas,0.10885178354039082
UT,49,Utah,0.3952782649345108
VT,50,Vermont,0.562735075558461
VA,51,Virginia,0.2198116790616509
WA,53,Washington,0.14016710672886512
WV,54,West Virginia,0.5115631563692119
WI,55,Wisconsin,0.4284386790489134
WY,56,Wyoming,0.07937012066531324
PR,72,Puerto Rico,0.9759483672705515
