Country,NUTS2_ID,NUTS_NAME,NUTS1_ID
ALB,AL01,Veri,AL0
ALB,AL02,Qender,AL0
ALB,AL03,Jug,AL0
AUT,AT11,Burgenland,AT1
AUT,AT12,Niederösterreich,AT1
AUT,AT13,Wien,AT1
AUT,AT21,Kärnten,AT2
AUT,AT22,Steiermark,AT2
AUT,AT31,Oberösterreich,AT3
AUT,AT32,Salzburg,AT3
AUT,AT33,Tirol,AT3
AUT,AT34,Vorarlberg,AT3
BEL,BE22,Prov. Limburg (BE),BE2
BEL,BE23,Prov. Oost-Vlaanderen,BE2
BEL,BE34,Prov. Luxembourg (BE),BE3
BEL,BE35,Prov. Namur,BE3
BEL,BE24,Prov. Vlaams-Brabant,BE2
BEL,BE25,Prov. West-Vlaanderen,BE2
BEL,BE31,Prov. Brabant wallon,BE3
BEL,BE32,Prov. Hainaut,BE3
BEL,BE33,Prov. Liège,BE3
BEL,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE1
BEL,BE21,Prov. Antwerpen,BE2
BGR,BG31,Severozapaden,BG3
BGR,BG32,Severen tsentralen,BG3
BGR,BG33,Severoiztochen,BG3
BGR,BG34,Yugoiztochen,BG3
BGR,BG41,Yugozapaden,BG4
BGR,BG42,Yuzhen tsentralen,BG4
CHE,CH07,Ticino,CH0
CHE,CH01,Région lémanique,CH0
CHE,CH02,Espace Mittelland,CH0
CHE,CH03,Nordwestschweiz,CH0
CHE,CH04,Zürich,CH0
CHE,CH05,Ostschweiz,CH0
CHE,CH06,Zentralschweiz,CH0
CYP,CY00,Kýpros,CY0
CZE,CZ02,Střední Čechy,CZ0
CZE,CZ03,Jihozápad,CZ0
CZE,CZ04,Severozápad,CZ0
CZE,CZ05,Severovýchod,CZ0
CZE,CZ06,Jihovýchod,CZ0
CZE,CZ07,Střední Morava,CZ0
CZE,CZ08,Moravskoslezsko,CZ0
CZE,CZ01,Praha,CZ0
DEU,DEB1,Koblenz,DEB
DEU,DEB2,Trier,DEB
DEU,DE13,Freiburg,DE1
DEU,DE72,Gießen,DE7
DEU,DEB3,Rheinhessen-Pfalz,DEB
DEU,DE14,Tübingen,DE1
DEU,DE73,Kassel,DE7
DEU,DEC0,Saarland,DEC
DEU,DE21,Oberbayern,DE2
DEU,DEG0,Thüringen,DEG
DEU,DE22,Niederbayern,DE2
DEU,DE80,Mecklenburg-Vorpommern,DE8
DEU,DE23,Oberpfalz,DE2
DEU,DE91,Braunschweig,DE9
DEU,DE24,Oberfranken,DE2
DEU,DE92,Hannover,DE9
DEU,DED2,Dresden,DED
DEU,DE25,Mittelfranken,DE2
DEU,DE93,Lüneburg,DE9
DEU,DED4,Chemnitz,DED
DEU,DE26,Unterfranken,DE2
DEU,DE94,Weser-Ems,DE9
DEU,DED5,Leipzig,DED
DEU,DEA1,Düsseldorf,DEA
DEU,DE27,Schwaben,DE2
DEU,DE30,Berlin,DE3
DEU,DEA2,Köln,DEA
DEU,DEE0,Sachsen-Anhalt,DEE
DEU,DEA3,Münster,DEA
DEU,DE40,Brandenburg,DE4
DEU,DE50,Bremen,DE5
DEU,DEA4,Detmold,DEA
DEU,DEF0,Schleswig-Holstein,DEF
DEU,DE11,Stuttgart,DE1
DEU,DE60,Hamburg,DE6
DEU,DEA5,Arnsberg,DEA
DEU,DE71,Darmstadt,DE7
DEU,DE12,Karlsruhe,DE1
DNK,DK01,Hovedstaden,DK0
DNK,DK02,Sjælland,DK0
DNK,DK03,Syddanmark,DK0
DNK,DK04,Midtjylland,DK0
DNK,DK05,Nordjylland,DK0
ESP,ES22,Comunidad Foral de Navarra,ES2
ESP,ES30,Comunidad de Madrid,ES3
ESP,ES53,Illes Balears,ES5
ESP,ES41,Castilla y León,ES4
ESP,ES61,Andalucía,ES6
ESP,ES62,Región de Murcia,ES6
ESP,ES63,Ciudad de Ceuta,ES6
ESP,ES64,Ciudad de Melilla,ES6
ESP,ES42,Castilla-La Mancha,ES4
ESP,ES43,Extremadura,ES4
ESP,ES51,Cataluña,ES5
ESP,ES52,Comunitat Valenciana ,ES5
ESP,ES11,Galicia,ES1
ESP,ES23,La Rioja,ES2
ESP,ES12,Principado de Asturias,ES1
ESP,ES13,Cantabria,ES1
ESP,ES24,Aragón,ES2
ESP,ES21,País Vasco,ES2
EST,EE00,Eesti,EE0
FIN,FI19,Länsi-Suomi,FI1
FIN,FI1B,Helsinki-Uusimaa,FI1
FIN,FI1C,Etelä-Suomi,FI1
FIN,FI1D,Pohjois- ja Itä-Suomi,FI1
FIN,FI20,Åland,FI2
FRA,FRI1,Aquitaine,FRI
FRA,FRE2,Picardie,FRE
FRA,FR10,Ile-de-France,FR1
FRA,FRJ2,Midi-Pyrénées,FRJ
FRA,FRF1,Alsace,FRF
FRA,FRB0,Centre — Val de Loire,FRB
FRA,FRK1,Auvergne,FRK
FRA,FRF2,Champagne-Ardenne,FRF
FRA,FRI2,Limousin,FRI
FRA,FRC1,Bourgogne,FRC
FRA,FRF3,Lorraine,FRF
FRA,FRI3,Poitou-Charentes,FRI
FRA,FRC2,Franche-Comté,FRC
FRA,FRG0,Pays de la Loire,FRG
FRA,FRJ1,Languedoc-Roussillon,FRJ
FRA,FRD1,Basse-Normandie ,FRD
FRA,FRD2,Haute-Normandie ,FRD
