Country,Growth_Rate
ABW,0.9399794081705254
AFG,0.504674957650732
AGO,0.10222148276014487
AIA,0.8553066625376913
ALA,0.5515004242593332
ALB,0.4892370159244751
AND,0.19331987980748622
ARE,0.6173772423628981
ARG,0.8911573524092287
ARM,0.7712935317169372
ASM,0.6081445575689951
ATA,0.0006334421473549456
ATF,0.3967941563516686
ATG,0.7148882524560035
AUS,0.2841474992815153
AUT,0.4722074936585192
AZE,0.018218257691034023
BDI,0.2522477424828531
BEL,0.4444487650665747
BEN,0.04987456518292244
BES,0.09633252649949808
BFA,0.7022232848330525
BGD,0.15979676587185498
BGR,0.14996077728575818
BHR,0.19150923904095285
BHS,0.4874954842626865
BIH,0.518574867397624
BLM,0.19438114835111409
BLR,0.7964518178088291
BLZ,0.08952241175462239
BMU,0.9118845338210512
BOL,0.8901759714811519
BRA,0.18547327685478465
BRB,0.8095155257590849
BRN,0.9858946629614143
BTN,0.37308220853284824
BVT,0.848207673447622
BWA,0.7253832050621987
CAF,0.8480809373558865
CAN,0.31963993797002377
CCK,0.3433522278800728
CHE,0.33420505116155397
CHL,0.03373988685919049
CHN,0.7450658315252168
CIV,0.19707941324142264
CMR,0.76240183891575
COD,0.9560869187352682
COG,0.3520430773409635
COK,0.16215670932349624
COL,0.7508670198822727
COM,0.8532853032756798
CPV,0.3810793200483148
CRI,0.07265542436925831
CUB,0.876911027508232
CUW,0.9933831629480343
CXR,0.6746844302296217
CYM,0.38423907751163
CYP,0.039886761897781176
CZE,0.7783875216090902
DEU,0.32513622739980697
DJI,0.5827769066854321
DMA,0.10037905567455174
DNK,0.46816879090485575
DOM,0.33300574219215173
DZA,0.7597609813277633
ECU,0.32273226733121396
EGY,0.5394908527582857
ERI,0.8577678954085288
ESH,0.5624895803361637
ESP,0.6937812030849131
EST,0.16550860840457016
ETH,0.12942032208481935
FIN,0.12026450764640062
FJI,0.7345155354982932
FLK,0.2570715084667593
FRA,0.78847716398642
FRO,0.8815088167747223
FSM,0.6259374929444634
GAB,0.7462287502277587
GBR,0.7654752988567641
GEO,0.5163803614701413
GGY,0.9580042282772137
GHA,0.8224521514078272
GIB,0.7825340022919428
GIN,0.7275551669563378
GLP,0.2166350051536602
GMB,0.9179377644675624
GNB,0.21582789924830792
GNQ,0.05249757127868204
GRC,0.4578689823239729
GRD,0.49475902896144064
GRL,0.669256253935438
GTM,0.508077972638146
GUF,0.9694783840690443
GUM,0.015027501602951854
GUY,0.9341414028490154
HKG,0.8465641017961295
HMD,0.12876514808143147
HND,0.26852558159107387
HRV,0.22373278255568596
HTI,0.42385753814916627
HUN,0.2260956352750053
IDN,0.10491573482729111
IMN,0.5165213818644965
IND,0.7549817155224497
IOT,0.4280556118872294
IRL,0.6406570538468058
IRN,0.19987799564242847
IRQ,0.1552933040198402
