State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.9933066537072961
AK,2,Alaska,0.918326974630462
AZ,4,Arizona,0.6572938077200304
AR,5,Arkansas,0.11475395556642987
CA,6,California,0.7201335395111622
CO,8,Colorado,0.4988384204577011
CT,9,Connecticut,0.20211717386459194
DE,10,Delaware,0.21845324775068997
DC,11,District of Columbia,0.8795304071390972
FL,12,Florida,0.6797962615437346
GA,13,Georgia,0.8575225179802047
HI,15,Hawaii,0.24435680325588016
ID,16,Idaho,0.9663569093472459
IL,17,Illinois,0.38845819430737805
IN,18,Indiana,0.9077713446581387
IA,19,Iowa,0.7681214034727438
KS,20,Kansas,0.7430302881175119
KY,21,Kentucky,0.5324919778302526
LA,22,Louisiana,0.9811333317699403
ME,23,Maine,0.6483986114186502
MD,24,Maryland,0.984781311329549
MA,25,Massachusetts,0.09813632127113225
MI,26,Michigan,0.9276623345333018
MN,27,Minnesota,0.058516710881655776
MS,28,Mississippi,0.05848282486593459
MO,29,Missouri,0.24737846723448154
MT,30,Montana,0.287422503521244
NE,31,Nebraska,0.7196800175952281
NV,32,Nevada,0.40135760087138384
NH,33,New Hampshire,0.9552462874732638
NJ,34,New Jersey,0.37722267515591834
NM,35,New Mexico,0.8404335064902957
NY,36,New York,0.12922194975029921
NC,37,North Carolina,0.0005156895555024077
ND,38,North Dakota,0.9411250366483249
OH,39,Ohio,0.4714988092135515
OK,40,Oklahoma,0.3681126535244942
OR,41,Oregon,0.446393043019339
PA,42,Pennsylvania,0.2894304870411798
RI,44,Rhode Island,0.44911612717342964
SC,45,South Carolina,0.6691056166248688
SD,46,South Dakota,0.9458767986266586
TN,47,Tennessee,0.5691473515713782
TX,48,Texas,0.5409159162271135
UT,49,Utah,0.21606754118025007
VT,50,Vermont,0.5563200047299557
VA,51,Virginia,0.22229632613235917
WA,53,Washington,0.6986443014801991
WV,54,West Virginia,0.9013679750201504
WI,55,Wisconsin,0.8197599907162115
WY,56,Wyoming,0.8711703566258232
PR,72,Puerto Rico,0.5595580544955314
