State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.8640839683891576
AK,2,Alaska,0.3660984973773094
AZ,4,Arizona,0.582120795376026
AR,5,Arkansas,0.36862245387556536
CA,6,California,0.2617894326225415
CO,8,Colorado,0.17674535155275217
CT,9,Connecticut,0.8980481335580348
DE,10,Delaware,0.9262410742827133
DC,11,District of Columbia,0.8846565824862175
FL,12,Florida,0.5342010196426631
GA,13,Georgia,0.4071993028729488
HI,15,Hawaii,0.8870303388406993
ID,16,Idaho,0.8245718981941577
IL,17,Illinois,0.1327111913012945
IN,18,Indiana,0.695677823155094
IA,19,Iowa,0.8184562988119831
KS,20,Kansas,0.04047494691050013
KY,21,Kentucky,0.8445797645248478
LA,22,Louisiana,0.05414526774080852
ME,23,Maine,0.09968792602232734
MD,24,Maryland,0.22627105767631905
MA,25,Massachusetts,0.8476283282210745
MI,26,Michigan,0.4815405682143773
MN,27,Minnesota,0.3990969944222563
MS,28,Mississippi,0.789418652249228
MO,29,Missouri,0.9943933512139645
MT,30,Montana,0.9543154619695359
NE,31,Nebraska,0.45977825266177386
NV,32,Nevada,0.8058102853411709
NH,33,New Hampshire,0.3760469442059282
NJ,34,New Jersey,0.15759817652059893
NM,35,New Mexico,0.2972349378182465
NY,36,New York,0.5440541968611102
NC,37,North Carolina,0.7681568984510986
ND,38,North Dakota,0.9488493077806007
OH,39,Ohio,0.3221989142335334
OK,40,Oklahoma,0.8092690048168867
OR,41,Oregon,0.06312813824486285
PA,42,Pennsylvania,0.9411800207100554
RI,44,Rhode Island,0.0834625336825352
SC,45,South Carolina,0.07305659610751858
SD,46,South Dakota,0.135727756227481
TN,47,Tennessee,0.747120963278092
TX,48,Texas,0.5027915561327939
UT,49,Utah,0.007324760989418033
VT,50,Vermont,0.1217595609511467
VA,51,Virginia,0.6985059371788126
WA,53,Washington,0.843928406172969
WV,54,West Virginia,0.3992927085441277
WI,55,Wisconsin,0.5518334279057948
WY,56,Wyoming,0.9452248382924502
PR,72,Puerto Rico,0.06217439528583646
