Country,NUTS1_ID,NUTS_NAME,Growth_Rate
ALB,AL0,Shqipëria,0.6454895427144441
AUT,AT2,Südösterreich,0.8493735418419964
AUT,AT3,Westösterreich,0.08788187659394753
AUT,AT1,Ostösterreich,0.27288327625738706
BEL,BE3,Région wallonne,0.2302100783874882
BEL,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.281262094609366
BEL,BE2,Vlaams Gewest,0.17337319962357678
BGR,BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,0.40183481788137654
BGR,BG3,Severna i Yugoiztochna Bulgaria,0.647346301172483
CHE,CH0,Schweiz/Suisse/Svizzera,0.38835673725878117
CYP,CY0,Kýpros,0.9114402327672834
CZE,CZ0,Česko,0.9543663209464857
DEU,DEF,Schleswig-Holstein,0.7133853317732586
DEU,DE8,Mecklenburg-Vorpommern,0.6376369495779158
DEU,DEG,Thüringen,0.6413956317977498
DEU,DE9,Niedersachsen,0.9326384744896704
DEU,DE1,Baden-Württemberg,0.8818051143998387
DEU,DEA,Nordrhein-Westfalen,0.9561838479046381
DEU,DEB,Rheinland-Pfalz,0.7012763111257285
DEU,DEC,Saarland,0.4242053244435142
DEU,DE2,Bayern,0.32633952610894024
DEU,DE3,Berlin,0.4997625929375955
DEU,DED,Sachsen,0.5311112312267223
DEU,DE4,Brandenburg,0.395422578763169
DEU,DE5,Bremen,0.03531578258542156
DEU,DE6,Hamburg,0.48514864272343117
DEU,DEE,Sachsen-Anhalt,0.23400083412190353
DEU,DE7,Hessen,0.39353767310764387
DNK,DK0,Danmark,0.9096538389200647
ESP,ES2,Noreste,0.4506219480261845
ESP,ES3,Comunidad de Madrid,0.7187360935352458
ESP,ES4,Centro (ES),0.9158922515510594
ESP,ES5,Este,0.2997408411975244
ESP,ES1,Noroeste,0.3114092591013349
ESP,ES6,Sur,0.12835372414968738
EST,EE0,Eesti,0.13021104699663222
FIN,FI1,Manner-Suomi,0.8460852334592474
FIN,FI2,Åland,0.3522026127291804
FRA,FRF,Grand Est,0.04891149266688277
FRA,FRK,Auvergne-Rhône-Alpes,0.9548047566300361
FRA,FRG,Pays de la Loire,0.3096020918074801
FRA,FRL,Provence-Alpes-Côte d’Azur,0.09141610655104349
FRA,FRM,Corse,0.37757564478138017
FRA,FRH,Bretagne,0.3392004969128919
FRA,FRI,Nouvelle-Aquitaine,0.22619553134920545
FRA,FRE,Hauts-de-France,0.8936197539293413
FRA,FRJ,Occitanie,0.4378211622602094
FRA,FR1,Ile-de-France,0.6822328424971326
FRA,FRC,Bourgogne-Franche-Comté,0.15228497383085238
FRA,FRD,Normandie,0.34085458642258715
FRA,FRB,Centre — Val de Loire,0.07600244573686143
HRV,HR0,Hrvatska,0.42766462835685015
HUN,HU2,Dunántúl,0.07683868214394163
HUN,HU1,Közép-Magyarország,0.4466555938586244
HUN,HU3,Alföld és Észak,0.9769207406851134
IRL,IE0,Ireland,0.8788932590317582
ISL,IS0,Ísland,0.838242803160534
ITA,ITC,Nord-Ovest,0.0727672702975507
ITA,ITH,Nord-Est,0.3079894799608939
ITA,ITF,Sud,0.8662997631755734
ITA,ITG,Isole,0.9530767088370813
ITA,ITI,Centro (IT),0.6246030700856273
LIE,LI0,Liechtenstein,0.35737180535606294
LTU,LT0,Lietuva,0.5793914332817214
LUX,LU0,Luxembourg,0.7927318101995656
LVA,LV0,Latvija,0.9574414926502725
MKD,MK0,Severna Makedonija ,0.20932218017175186
MLT,MT0,Malta,0.6421423746944398
MNE,ME0,Crna Gora,0.11288323731635364
NLD,NL1,Noord-Nederland,0.1147480758889512
NLD,NL2,Oost-Nederland,0.709465341041916
NLD,NL3,West-Nederland,0.40262748160743256
NLD,NL4,Zuid-Nederland,0.6264760803764964
NOR,NO0,Norge,0.37527490196242763
POL,PL4,Makroregion północno-zachodni,0.4752795053106522
POL,PL5,Makroregion południowo-zachodni,0.8680714627685046
POL,PL6,Makroregion północny,0.9137693897512809
POL,PL7,Makroregion centralny,0.8260817009512949
POL,PL8,Makroregion wschodni,0.09701618873467155
POL,PL9,Makroregion województwo mazowieckie,0.7503418125649919
POL,PL2,Makroregion południowy,0.9841774509941366
PRT,PT3,Região Autónoma da Madeira,0.05547594087835661
PRT,PT1,Continente,0.7153094788113874
PRT,PT2,Região Autónoma dos Açores,0.9222284991301966
ROU,RO1,Macroregiunea Unu,0.15113973609822562
ROU,RO2,Macroregiunea Doi,0.4577460478081088
ROU,RO3,Macroregiunea Trei,0.27744551211321666
ROU,RO4,Macroregiunea Patru,0.11485548583194505
SRB,RS1,Serbia - sever,0.41993295776432604
SRB,RS2,Serbia - jug ,0.5727041775071484
SVK,SK0,Slovensko,0.12671393292491195
SVN,SI0,Slovenija,0.09958817038784762
SWE,SE1,Östra Sverige,0.46985416649019107
SWE,SE2,Södra Sverige,0.52696132638363
SWE,SE3,Norra Sverige,0.8929210365041558
TUR,TR4,Doğu Marmara,0.6232869365533587
TUR,TR8,Batı Karadeniz,0.012115523625615632
TUR,TR9,Doğu Karadeniz,0.23411971227630013
TUR,TRA,Kuzeydoğu Anadolu,0.249300925205733
TUR,TRB,Ortadoğu Anadolu,0.265064892974361
TUR,TRC,Güneydoğu Anadolu,0.20267564240962455
TUR,TR1,İstanbul,0.4469625306085484
TUR,TR5,Batı Anadolu,0.31419423370413724
TUR,TR2,Batı Marmara,0.9090677577461028
TUR,TR6,Akdeniz,0.32292151637303124
TUR,TR7,Orta Anadolu,0.17579544341000075
TUR,TR3,Ege,0.4020246787246733
