Country,Overall Risk
AFG,62
AGO,63
ALB,43
ARE,31
ARG,46
ARM,47
ATG,39
AUS,25
AUT,24
AZE,50
BDI,66
BEL,25
BEN,53
BFA,58
BGD,53
BGR,34
BHR,44
BHS,40
BIH,46
BLR,48
BLZ,49
BMU,31
BOL,55
BRA,45
BRB,38
BRN,35
BTN,40
BWA,42
CAF,65
CAN,25
CHE,19
CHL,32
CHN,42
CIV,53
CMR,59
COD,64
COG,59
COL,46
COM,55
CPV,41
CRI,34
CUB,46
CYM,28
CYP,33
CZE,28
DEU,23
DJI,58
DMA,43
DNK,20
DOM,43
DZA,49
ECU,54
EGY,52
ERI,62
ESP,31
EST,25
ETH,61
FIN,21
FJI,48
FRA,29
GAB,49
GBR,28
GEO,41
GHA,47
GIN,59
GMB,56
GNB,61
GNQ,51
GRC,42
GRD,38
GTM,51
GUY,49
HKG,35
HND,56
HRV,32
HTI,64
HUN,34
IDN,39
IND,47
IRL,23
IRN,54
IRQ,57
ISL,26
ISR,36
ITA,34
JAM,46
JOR,47
JPN,25
KAZ,43
KEN,52
KGZ,55
KHM,51
KIR,43
KNA,38
KOR,26
KWT,38
LAO,54
LBN,63
LBR,62
LBY,61
LCA,39
LKA,48
LSO,53
LTU,27
LUX,22
LVA,27
MAC,33
MAR,49
MDA,43
MDG,62
MDV,44
MEX,46
MKD,43
MLI,63
MLT,28
MMR,61
MNE,41
MNG,51
MOZ,63
MRT,60
MUS,38
MWI,59
MYS,34
NAM,43
NER,58
NGA,55
NIC,57
NLD,21
NOR,23
NPL,52
NZL,26
OMN,41
PAK,59
PAN,35
PER,44
PHL,43
PNG,55
POL,31
PRK,59
PRT,29
PRY,43
PSE,58
QAT,40
ROU,37
RUS,50
RWA,50
SAU,38
SDN,66
SEN,47
SGP,27
SLB,52
SLE,62
SLV,53
SOM,65
SRB,45
SSD,70
STP,49
SUR,50
SVK,27
SVN,26
SWE,22
SWZ,54
SYC,37
SYR,59
TCD,67
TGO,56
THA,38
TJK,52
TKM,47
TLS,49
TON,45
TTO,41
TUN,52
TUR,54
TUV,51
TWN,27
TZA,49
UGA,56
UKR,57
URY,33
USA,31
UVK,46
UZB,43
VCT,41
VEN,62
VNM,40
VUT,43
WSM,40
YEM,66
ZAF,45
ZMB,56
ZWE,66
