Country,Macro Risk
ABW,4
AFG,64
AGO,72
AIA,47
ALA,30
ALB,70
AND,39
ARE,57
ARG,65
ARM,84
ASM,47
ATA,23
ATF,56
ATG,42
AUS,91
AUT,66
AZE,10
BDI,51
BEL,31
BEN,63
BES,8
BFA,76
BGD,41
BGR,71
BHR,70
BHS,70
BIH,61
BLM,99
BLR,5
BLZ,60
BMU,72
BOL,55
BRA,17
BRB,15
BRN,72
BTN,75
BVT,37
BWA,54
CAF,10
CAN,58
CCK,87
CHE,86
CHL,29
CHN,6
CIV,58
CMR,58
COD,13
COG,29
COK,51
COL,55
COM,74
CPV,6
CRI,40
CUB,18
CUW,86
CXR,13
CYM,73
CYP,87
CZE,10
DEU,34
DJI,10
DMA,14
DNK,5
DOM,82
DZA,24
ECU,79
EGY,45
ERI,95
ESH,13
ESP,7
EST,13
ETH,80
FIN,83
FJI,89
FLK,56
FRA,85
FRO,28
FSM,81
GAB,25
GBR,62
GEO,43
GGY,7
GHA,55
GIB,89
GIN,82
GLP,1
GMB,48
GNB,51
GNQ,15
GRC,87
GRD,90
GRL,90
GTM,14
GUF,56
GUM,9
GUY,38
HKG,15
HMD,5
HND,46
HRV,46
HTI,89
HUN,52
IDN,67
IMN,66
IND,14
IOT,96
IRL,60
IRN,71
IRQ,6
ISL,27
ISR,71
ITA,52
JAM,26
JEY,65
JOR,72
JPN,26
KAZ,35
KEN,0
KGZ,62
KHM,98
KIR,78
KNA,36
KOR,5
KWT,0
LAO,0
LBN,42
LBR,36
LBY,46
LCA,71
LIE,87
LKA,82
LSO,18
LTU,62
LUX,87
LVA,4
MAC,32
MAF,70
MAR,17
MCO,77
MDA,87
MDG,46
MDV,73
MEX,24
MHL,18
MKD,34
MLI,71
MLT,59
MMR,29
MNE,55
MNG,5
MNP,64
MOZ,53
MRT,84
MSR,92
MTQ,94
MUS,98
MWI,38
MYS,83
MYT,54
NAM,46
NCL,1
NER,35
NFK,96
NGA,60
NIC,23
NIU,37
NLD,29
NOR,38
NPL,42
NRU,48
NZL,76
OMN,26
PAK,79
PAN,78
PCN,7
PER,38
PHL,98
PLW,35
PNG,67
POL,30
PRI,33
PRK,45
PRT,56
PRY,26
PSE,17
PYF,0
QAT,53
REU,90
ROU,99
RUS,26
RWA,15
SAU,86
SDN,23
SEN,84
SGP,7
SGS,63
SHN,17
SJM,27
SLB,78
SLE,27
SLV,16
SMR,44
SOM,70
SPM,57
SRB,21
SSD,15
STP,12
SUR,92
SVK,45
SVN,46
SWE,54
SWZ,63
SXM,89
SYC,72
SYR,56
TCA,31
TCD,90
TGO,27
THA,76
TJK,68
TKL,24
TKM,57
TLS,15
TON,36
TTO,26
TUN,54
TUR,3
TUV,62
TWN,71
TZA,21
UGA,69
UKR,78
UMI,30
URY,33
USA,36
UZB,29
VAT,11
VCT,80
VEN,29
VGB,57
VIR,81
VNM,16
VUT,5
WLF,74
WSM,48
YEM,9
ZAF,24
ZMB,51
ZWE,62
