State,FIPS,States_Full,Growth_Rate
AL,1,Alabama,0.46733968255746916
AK,2,Alaska,0.14262407586121417
AZ,4,Arizona,0.14949992171063198
AR,5,Arkansas,0.8123738719430946
CA,6,California,0.75012081991218
CO,8,Colorado,0.48335543952272353
CT,9,Connecticut,0.43650783283211925
DE,10,Delaware,0.37572204081249816
DC,11,District of Columbia,0.08425735818845981
FL,12,Florida,0.30093134817715006
GA,13,Georgia,0.26445402497842874
HI,15,Hawaii,0.959729279745234
ID,16,Idaho,0.9104699746982623
IL,17,Illinois,0.5617190431784311
IN,18,Indiana,0.6168512338330081
IA,19,Iowa,0.5759598961745198
KS,20,Kansas,0.3922650901805067
KY,21,Kentucky,0.042265020847097046
LA,22,Louisiana,0.8050006026885252
ME,23,Maine,0.9341028283816267
MD,24,Maryland,0.08643979908155452
MA,25,Massachusetts,0.8122154780669548
MI,26,Michigan,0.9637865968652708
MN,27,Minnesota,0.14041383157672072
MS,28,Mississippi,0.6115408659701498
MO,29,Missouri,0.9182071517283673
MT,30,Montana,0.9368912517491101
NE,31,Nebraska,0.810068835440047
NV,32,Nevada,0.7949813328381004
NH,33,New Hampshire,0.16786089606476884
NJ,34,New Jersey,0.03168984507554129
NM,35,New Mexico,0.6673736030304253
NY,36,New York,0.20606401003023989
NC,37,North Carolina,0.4672508169118339
ND,38,North Dakota,0.8335438514706853
OH,39,Ohio,0.8891477612710746
OK,40,Oklahoma,0.052708662687891206
OR,41,Oregon,0.07620765089392822
PA,42,Pennsylvania,0.8038177729575625
RI,44,Rhode Island,0.5696478528053504
SC,45,South Carolina,0.8415246173602147
SD,46,South Dakota,0.8805683627228711
TN,47,Tennessee,0.8130365922840923
TX,48,Texas,0.746639337363354
UT,49,Utah,0.3573850242714781
VT,50,Vermont,0.809900670276613
VA,51,Virginia,0.18887617687601088
WA,53,Washington,0.9230591239537624
WV,54,West Virginia,0.5571842131834126
WI,55,Wisconsin,0.7131871736064954
WY,56,Wyoming,0.8617161099069345
PR,72,Puerto Rico,0.9629421917725826
